ID,Construction_ID,Parameter_ID,Code_ID,Example_IDs,Source,Value,Comment
constr210-cparam1,constr210,cparam1,cparam1-c1,,,dominant R > T,The basic word order is: A (Obl) R – P/T -V
constr211-cparam1,constr211,cparam1,cparam1-c1,,,dominant R > T,The basic word order is: A (Obl) R – P/T -V
constr212-cparam1,constr212,cparam1,cparam1-c1,,,dominant R > T,The basic word order is: A (Obl) R – P/T -V
constr213-cparam1,constr213,cparam1,cparam1-c2,,,dominant T > R,"The dominant word order with monotransitives (in both present and past) is SOV (although OSV is also possible). With ditransitives, in a double object construction preferred word order is A T V R. But fronting of R into preverbal position is possible for discourse reasons; in this case the order of R and T depends on discourse considerations but also on specificity; non-specific Ts tend to be in the immediate preverbal positions."
constr214-cparam1,constr214,cparam1,cparam1-c3,,,either order,The dominant word order with monotransitives (in both present and past) is SOV (although OSV is also possible). In the indirect object construction R can be either preverbal or postverbal (most commonly preverbal with da).
constr216-cparam1,constr216,cparam1,cparam1-c2,,,dominant T > R,"The dominant word order with monotransitives (in both present and past) is SOV (although OSV is also possible). With ditransitives, in a double object construction preferred word order is A T V R. But fronting of R into preverbal position is possible for discourse reasons; in this case the order of R and T depends on discourse considerations but also on specificity; non-specific Ts tend to be in the immediate preverbal positions."
constr217-cparam1,constr217,cparam1,cparam1-c3,,,either order,The dominant word order with monotransitives (in both present and past) is SOV (although OSV is also possible). In the indirect object construction R can be either preverbal or postverbal (most commonly preverbal with da).
constr218-cparam1,constr218,cparam1,cparam1-c1,,hewitt-1989,dominant R > T,p. 51. The preferred word order is: A R T V. “The man gave the book to the woman for her friend’.
constr219-cparam1,constr219,cparam1,cparam1-c2,,derbyshire-1979[40],dominant T > R,The basic order is OVS (IO/OO).
constr220-cparam1,constr220,cparam1,cparam1-c2,,derbyshire-1979[40],dominant T > R,The basic order is OVS (IO/OO).
constr221-cparam1,constr221,cparam1,cparam1-c3,,,either order,"p. 224. The basic order is SOV, adjuncts can intervene. That is R>T or T>R."
constr1-cparam2,constr1,cparam2,cparam2-c6,,,preposition,
constr2-cparam2,constr2,cparam2,cparam2-c2,ex134,,no flagging,
constr223-cparam2,constr223,cparam2,cparam2-c8,ex135,,suffixal case,"In full NPs, mostly expressed on article ot adjective."
constr3-cparam2,constr3,cparam2,cparam2-c8,ex136,,suffixal case,
constr4-cparam2,constr4,cparam2,cparam2-c2,ex137,,no flagging,recipient is unmarked when NP-internal; however like other posessors will take a possessive form if pronominal (no Genitive marking on nouns)
constr5-cparam2,constr5,cparam2,cparam2-c8,,,suffixal case,
constr6-cparam2,constr6,cparam2,cparam2-c2,,,no flagging,
constr7-cparam2,constr7,cparam2,cparam2-c2,,,no flagging,
constr8-cparam2,constr8,cparam2,cparam2-c2,,,no flagging,
constr9-cparam2,constr9,cparam2,cparam2-c2,,,no flagging,
constr10-cparam2,constr10,cparam2,cparam2-c8,,,suffixal case,
constr11-cparam2,constr11,cparam2,cparam2-c2,,,no flagging,
constr12-cparam2,constr12,cparam2,cparam2-c2,ex358,ch001lithompson1981,no flagging,
constr13-cparam2,constr13,cparam2,cparam2-c8,ex146,"watters-2002[238, 69]",suffixal case,"-lai appears on R of ditransitives, and on Ps of monotransitives, only if definite."
constr14-cparam2,constr14,cparam2,cparam2-c6,,,preposition,
constr15-cparam2,constr15,cparam2,cparam2-c8,ex148,watters-2002,suffixal case,
constr16-cparam2,constr16,cparam2,cparam2-c8,,,suffixal case,
constr17-cparam2,constr17,cparam2,cparam2-c8,,ch001asherkumari1997[192],suffixal case,Allomorphs phonologically conditioned. Indirective.
constr18-cparam2,constr18,cparam2,cparam2-c4,,,postposition,
constr19-cparam2,constr19,cparam2,cparam2-c8,,,suffixal case,
constr20-cparam2,constr20,cparam2,cparam2-c8,,,suffixal case,
constr21-cparam2,constr21,cparam2,cparam2-c6,,,preposition,
constr22-cparam2,constr22,cparam2,cparam2-c6,,,preposition,Flagging remains indirective/prepositional.
constr23-cparam2,constr23,cparam2,cparam2-c6,,ch001lithompson1981,preposition,preposition gei = give
constr24-cparam2,constr24,cparam2,cparam2-c6,ex365,ch001lithompson1981,preposition,preposition gei = give
constr25-cparam2,constr25,cparam2,cparam2-c2,,,no flagging,
constr26-cparam2,constr26,cparam2,cparam2-c1,,,enclitic case,dative case is optional (in the presence of dative agreement)
constr27-cparam2,constr27,cparam2,cparam2-c2,,harvey-2002,no flagging,
constr28-cparam2,constr28,cparam2,cparam2-c2,,miller-2001,no flagging,
constr29-cparam2,constr29,cparam2,cparam2-c2,,miller-2001,no flagging,
constr30-cparam2,constr30,cparam2,cparam2-c8,,,suffixal case,
constr31-cparam2,constr31,cparam2,cparam2-c8,,,suffixal case,
constr32-cparam2,constr32,cparam2,cparam2-c8,,,suffixal case,"Here flagging is indexing if both T and R in Acc, however, it is rather indirective as on O/T ACC can alternate with Inst and PRED."
constr33-cparam2,constr33,cparam2,cparam2-c8,,,suffixal case,
constr34-cparam2,constr34,cparam2,cparam2-c2,,aikhenvald-y.-2003,no flagging,"R if pronominal --> -na (core non-subject case on pronouns); R if topical --> -nuku (marker of topical non-subjects); otherwise (non-topical) is unmarked) For both R and T: (1) Non-topical full noun phrases and inanimate pronouns take zero marking (145); (2) Non-topical animate pronouns take -na (143-5); (3) topical noun phrases take -nuku (for younger speakers, -na-nuku for animate pronouns) (145-7)."
constr35-cparam2,constr35,cparam2,cparam2-c4,,,postposition,
constr36-cparam2,constr36,cparam2,cparam2-c8,ex169,,suffixal case,
constr38-cparam2,constr38,cparam2,cparam2-c8,,,suffixal case,
constr39-cparam2,constr39,cparam2,cparam2-c2,,,no flagging,
constr40-cparam2,constr40,cparam2,cparam2-c6,,,preposition,
constr41-cparam2,constr41,cparam2,cparam2-c6,,,preposition,The preposition kὲ̀̀ε.
constr42-cparam2,constr42,cparam2,cparam2-c7,,,serial verb,Marking by the benefactive serial verb hây ‘give’. Thepkanjana presents evidence from (the impossibility of) negation showing that the serial verb is grammaticalized.
constr43-cparam2,constr43,cparam2,cparam2-c7,,,serial verb,hay ‘give’
constr44-cparam2,constr44,cparam2,cparam2-c2,,,no flagging,
constr45-cparam2,constr45,cparam2,cparam2-c6,,,preposition,
constr46-cparam2,constr46,cparam2,cparam2-c2,,,no flagging,"The A is flagged by an ergative enclitic, so one could also say that both R and T show Absolutive-case flagging (which happens to be zero in all cases)."
constr47-cparam2,constr47,cparam2,cparam2-c2,,,no flagging,
constr48-cparam2,constr48,cparam2,cparam2-c8,ex181,ch001keneseivagofenyvesi1998,suffixal case,
constr49-cparam2,constr49,cparam2,cparam2-c8,,,suffixal case,ALL preceded by GEN if R is animate
constr51-cparam2,constr51,cparam2,cparam2-c8,,,suffixal case,The dative flags T and R in Present series; A and Sa in Perfect series.
constr52-cparam2,constr52,cparam2,cparam2-c8,,,suffixal case,"Ergative; variant -m after vowels. – The ergative flags A and Sa in the Aorist Series. – The nominative flags A and S in the Present Series; Sp, P and T in the Aorist and Perfect Series."
constr53-cparam2,constr53,cparam2,cparam2-c4,,,postposition,"Postposition is attached to Genitive form of noun. – The nominative flags A and S in the Present Series; Sp, P and T in the Aorist and Perfect Series."
constr54-cparam2,constr54,cparam2,cparam2-c2,,,no flagging,
constr55-cparam2,constr55,cparam2,cparam2-c2,,,no flagging,
constr56-cparam2,constr56,cparam2,cparam2-c8,,evans-1995,suffixal case,Oblique cases on objects change to NOM with imperatives.
constr57-cparam2,constr57,cparam2,cparam2-c8,,,suffixal case,O markers by modal oblique cases which distinguish TAM categories
constr58-cparam2,constr58,cparam2,cparam2-c8,,evans-1995,suffixal case,Verbal dative like other verbal cases take verbal rather than nominal inflection. NB verbal dative historically < maru-thu ‘put’
constr59-cparam2,constr59,cparam2,cparam2-c8,,,suffixal case,Verbal dative like other verbal cases take verbal rather than nominal inflection
constr60-cparam2,constr60,cparam2,cparam2-c8,,evans-1995,suffixal case,Object markers by modal oblique cases which distinguish TAM categories. Verbal donative originally < wu- ‘give’
constr61-cparam2,constr61,cparam2,cparam2-c8,,,suffixal case,
constr62-cparam2,constr62,cparam2,cparam2-c2,,,no flagging,
constr63-cparam2,constr63,cparam2,cparam2-c2,,,no flagging,
constr64-cparam2,constr64,cparam2,cparam2-c8,,,suffixal case,
constr65-cparam2,constr65,cparam2,cparam2-c8,,,suffixal case,
constr67-cparam2,constr67,cparam2,cparam2-c8,,,suffixal case,
constr68-cparam2,constr68,cparam2,cparam2-c8,,,suffixal case,
constr69-cparam2,constr69,cparam2,cparam2-c8,,,suffixal case,
constr70-cparam2,constr70,cparam2,cparam2-c8,,lehmann-1993[32],suffixal case,"Dative is also used for (inanimate) Goals, not for animate Goals."
constr71-cparam2,constr71,cparam2,cparam2-c8,,lehmann-1993[31],suffixal case,Animate goal appears in LOC (cf. p. 31 ex. 59)
constr72-cparam2,constr72,cparam2,cparam2-c8,,,suffixal case,Benefactive marking is a combination of Dat suffix + “bound postposition” =aaka (< infinitive of aaku ‘become’).
constr73-cparam2,constr73,cparam2,cparam2-c6,ex395,engelenhoven-na,preposition,Directional clitic prepositions are deverbal and may attach either to NP itself or to a preceding word.
constr74-cparam2,constr74,cparam2,cparam2-c7,,,serial verb,
constr75-cparam2,constr75,cparam2,cparam2-c8,ex1082;ex1083;ex1084,dench-1995[68 / 220],suffixal case,"Accusative case Less canonical ditransitive verbs (e.g., caused motion verbs like warntitha THROW) allow for alternative argument structures: R can be encoded either with LOC or with ACC (see ex. 6498 & 6499 below). The same holds for SEND thathu.l-, wantha.r- PUT, tharrwi.L- PUT into. Note however that also these verbs can form a Double object construction if the third argument is Beneficiary (not Goal). TELL, speak to wangka- also forms DOC with Addressee in the Acc, but T is rarely expressed as a noun (as in ex. 6500 below) p. 224. nhura-ma-L- TEACH/SHOW is a causative of learn also forms a DOC (see causatives)."
constr76-cparam2,constr76,cparam2,cparam2-c8,,,suffixal case,Accusative -ta is incompatible with the plural -im and some other suffixes.
constr77-cparam2,constr77,cparam2,cparam2-c4,,dedrick-casad-1999[177],postposition,"follows the accusative (-ta) form of the noun; called a “postposition” but spelled in one word D&C, 177. “Dative pronouns”: né-u 1sg.OBJ-LOC ‘to me’, etc, pattern as oblique (acc/gen pronouns) + postpositions. NB postpositions regularly take oblique (genitive pronominal stems)."
constr78-cparam2,constr78,cparam2,cparam2-c8,,ch001bickelgaenszlerairairairaisharma2007[6],suffixal case,"The dative case-marker -lai was possibly borrowed from Nepali -lai. “Dative case (-lai) is obligatory for the most goal-like argument of ditransitives, but it is banned from the least goal-like argument of ditransitives (typically, themes).”"
constr79-cparam2,constr79,cparam2,cparam2-c2,,,no flagging,
constr80-cparam2,constr80,cparam2,cparam2-c2,,,no flagging,
constr81-cparam2,constr81,cparam2,cparam2-c2,,peterson-1998,no flagging,"No marking of objects, but the deictic particle khaa preferably with P~ applied O. NB that would suggest preferential marking of R; no examples given though."
constr82-cparam2,constr82,cparam2,cparam2-c2,,,no flagging,
constr83-cparam2,constr83,cparam2,cparam2-c2,,,no flagging,Applied Object/causee unmarked. Though note that the deictic particle khaa preferably with applied object.
constr84-cparam2,constr84,cparam2,cparam2-c2,,,no flagging,
constr85-cparam2,constr85,cparam2,cparam2-c2,,,no flagging,
constr86-cparam2,constr86,cparam2,cparam2-c2,,,no flagging,
constr87-cparam2,constr87,cparam2,cparam2-c4,,,postposition,"iti ‘on’ used for Rs in sg, ano ‘in’ for Rs in pl."
constr88-cparam2,constr88,cparam2,cparam2-c2,,,no flagging,
constr89-cparam2,constr89,cparam2,cparam2-c2,,,no flagging,
constr90-cparam2,constr90,cparam2,cparam2-c4,,,postposition,
constr91-cparam2,constr91,cparam2,cparam2-c5,,,prefixal case,Prefixal Object Case (=oblique) is ka= in SG (in PL not distinguished from NOM).
constr92-cparam2,constr92,cparam2,cparam2-c4,,,postposition,
constr94-cparam2,constr94,cparam2,cparam2-c2,,,no flagging,
constr95-cparam2,constr95,cparam2,cparam2-c6,,,preposition,"By prepositions kepada ‘to’, untuk, buat, or bagi ‘for’."
constr96-cparam2,constr96,cparam2,cparam2-c2,,sneddon-1996[82],no flagging,"Some speakers also accept ex. where in a BEN construction R is introduced by a preposition. (S, p. 82: ): pelayan men-gabil-kan segelas air (untuk tamu) waiter TR-fetch glass water for guest"
constr97-cparam2,constr97,cparam2,cparam2-c2,,,no flagging,
constr98-cparam2,constr98,cparam2,cparam2-c6,ex233,cooreman-1987[52],preposition,"Preposition para. R Is introduced by articles if definite, as usual with all core NPs. If pronominal then by “emphatic” pronouns used in oblique positions. Indefinite/non-specific Ps (NPs) are unmarked (optionally with un indefinite article).."
constr99-cparam2,constr99,cparam2,cparam2-c2,,,no flagging,"If nominal (and definite), introduced by direct articles (i ~ si). If pronominal by “absolutive” (yo’-series) pronouns. Indefinite/non-specific objects (NPs) are unmarked (optionally with un indefinite article)."
constr100-cparam2,constr100,cparam2,cparam2-c4,,,postposition,"R marked by the enclitic =‘ay. T is usually incorporated, as is also P (unless it is animate, sg, in which case it may be a free NP)."
constr101-cparam2,constr101,cparam2,cparam2-c2,,,no flagging,
constr102-cparam2,constr102,cparam2,cparam2-c4,ex409,heath-1998,postposition,
constr103-cparam2,constr103,cparam2,cparam2-c4,,,postposition,
constr104-cparam2,constr104,cparam2,cparam2-c2,,,no flagging,
constr105-cparam2,constr105,cparam2,cparam2-c6,,,preposition,also variant ‘l
constr106-cparam2,constr106,cparam2,cparam2-c4,,lapolla-j.-2003,postposition,Here R-marking is optional (disambiguated by subject agreement?); cf. (3.110) I he=(DAT) Qiang teach-I ‘I teach him Qiang’
constr107-cparam2,constr107,cparam2,cparam2-c4,,,postposition,
constr108-cparam2,constr108,cparam2,cparam2-c8,,dayley-1989[185],suffixal case,"OBJ has a number of allomorphs, partially morphonologically determined; cf. however DOM. P and R by OBJ case (ACC=DAT): The same for pronouns. NB p. 185. If IO (R) is postverbal case (OBJ) is optional"
constr109-cparam2,constr109,cparam2,cparam2-c8,,dayley-1989[185],suffixal case,"The object has a number of allomorphs, partially morphonologically determined; cf. however DOM. P and R are marked by object case (ACC=DAT); the same for pronouns. NB p. 185. If the R is postverbal, object case is optional: (30) I dress/obj bought-APL Angie(obj)"
constr110-cparam2,constr110,cparam2,cparam2-c8,,thompson-etal-2006,suffixal case,“Dative case” -thu
constr113-cparam2,constr113,cparam2,cparam2-c4,,,postposition,general locative postposition
constr114-cparam2,constr114,cparam2,cparam2-c2,,,no flagging,
constr115-cparam2,constr115,cparam2,cparam2-c2,,,no flagging,
constr116-cparam2,constr116,cparam2,cparam2-c4,,,postposition,Instrumental/comitative postposition.
constr117-cparam2,constr117,cparam2,cparam2-c4,,,postposition,benefactive postposition
constr118-cparam2,constr118,cparam2,cparam2-c4,,,postposition,the general Locative postposition. Patientive/accusative case normally on animate/affected objects; elsewhere this case may be used with a pragmatic (adversative) function; see monotransitive alignment.
constr119-cparam2,constr119,cparam2,cparam2-c4,,,postposition,Patientive-accusative postposition. Patientive/accusative case normally on animate/affected objects; elsewhere this case may be used with a pragmatic (adversative) function; see monotransitive alignment.
constr120-cparam2,constr120,cparam2,cparam2-c4,,,postposition,genitive/benefactive postposition.
constr121-cparam2,constr121,cparam2,cparam2-c2,,,no flagging,
constr122-cparam2,constr122,cparam2,cparam2-c2,,,no flagging,
constr123-cparam2,constr123,cparam2,cparam2-c6,,,preposition,"R is introduced by an object (oblique) form of the article (treated here as a preposition), unless A is 1st/2nd person (inverse effect), or when R is pronominal. Only (specific) nouns and 3rd person pronouns distinguish between direct and oblique forms of the article."
constr124-cparam2,constr124,cparam2,cparam2-c6,,,preposition,
constr125-cparam2,constr125,cparam2,cparam2-c1,,,enclitic case,
constr126-cparam2,constr126,cparam2,cparam2-c2,,,no flagging,
constr127-cparam2,constr127,cparam2,cparam2-c8,,,suffixal case,“Allative” case also for the dative function.
constr128-cparam2,constr128,cparam2,cparam2-c8,,,suffixal case,R marked by dative case. Differential object marking in the imperfective.
constr129-cparam2,constr129,cparam2,cparam2-c8,,,suffixal case,R marked by dative case. T (like P) is always unmarked in the perfective.
constr130-cparam2,constr130,cparam2,cparam2-c4,,,postposition,"The “lative” postposition; postpositions show possessive agreement with the pronominal arguments. A and T/P are unmarked, except for personal pronouns."
constr131-cparam2,constr131,cparam2,cparam2-c4,,,postposition,"The “lative” postposition; postpositions show possessive agreement with the pronominal arguments. A and T/P are unmarked, except for personal pronouns."
constr132-cparam2,constr132,cparam2,cparam2-c2,,,no flagging,"A and R/P are unmarked, except for personal pronouns."
constr133-cparam2,constr133,cparam2,cparam2-c2,,,no flagging,
constr134-cparam2,constr134,cparam2,cparam2-c1,,,enclitic case,By the polyfunctional “referent case” enclitic
constr135-cparam2,constr135,cparam2,cparam2-c2,,ch01kimball1991,no flagging,"R is in the unmarked “autonomous” case, which also marks Possessors and objects of postpositions. NB “zero dative”. The accusative (object) enclitic -n has the focus -on form. Under certain conditions (e.g. when immediately preverbal or with plural objects, and more generally in unambiguous contexts; 394) the ACC marker is missing (DOM)."
constr136-cparam2,constr136,cparam2,cparam2-c2,,haude-2006[281],no flagging,“The only case distinction is between structural and oblique case”: the former unmarked; OBL by n- prefix on articles and pronouns.
constr137-cparam2,constr137,cparam2,cparam2-c2,,,no flagging,
constr138-cparam2,constr138,cparam2,cparam2-c2,,,no flagging,Some prepositions (also hini-) are noun-like in that they take possessive agreement suffixes to agree with the head.
constr139-cparam2,constr139,cparam2,cparam2-c6,,,preposition,The dative/instrumental preposition isa (in combination with possessive agreement suffixes). Some prepositions (also isa-) are noun-like in that they take possessive agreement suffixes to agree with the head.
constr140-cparam2,constr140,cparam2,cparam2-c8,,,suffixal case,"NB “dative” case –gu is identical to allative –gu (but are partially distinct in the forms of determiners-noun markers and pronouns, which lack regular allative forms)."
constr141-cparam2,constr141,cparam2,cparam2-c8,,,suffixal case,"The “simple genitive” in -(ŋ)u (for present/actual possession, is distinct from the “general genitive” for past/alienable possession)."
constr142-cparam2,constr142,cparam2,cparam2-c2,,,no flagging,"No marking of absolutive NPs with nouns; (1,2) pronouns (and also proper nouns) take the accusative marker in -–na/-Na."
constr143-cparam2,constr143,cparam2,cparam2-c6,,,preposition,"R/P is introduced by the “nominative” article/preposition na, which also introduces S in this construction. Apart from articles which also distinguish case functions (”nominative”, “core”, “oblique”, genitive), genuine prepositions for adjuncts co-occurring with articles."
constr144-cparam2,constr144,cparam2,cparam2-c6,,,preposition,"R is introduced by the “non-nominative core article/preposition” te. Apart from articles which also distinguish case functions (”nominative”, “core”, “oblique”, genitive), genuine prepositions for adjuncts co-occurring with articles."
constr145-cparam2,constr145,cparam2,cparam2-c6,,,preposition,"R is introduced by the locative/oblique preposition i/di (has general LOC, ALL, ABL functions). Apart from articles which also distinguish case functions (”nominative”, “core”, “oblique”, genitive), genuine prepositions for adjuncts co-occurring with articles."
constr146-cparam2,constr146,cparam2,cparam2-c4,,,postposition,
constr147-cparam2,constr147,cparam2,cparam2-c4,,,postposition,"DAT postpositions differ in animacy/politeness: ey (inanimate), animate: eykey (formal), hanthey (casual), kkey (honorific) Both ACC and DAT postpositions may be omitted if no emphasis is implied."
constr148-cparam2,constr148,cparam2,cparam2-c4,,,postposition,The ACC postposition with a focal value.
constr149-cparam2,constr149,cparam2,cparam2-c4,,,postposition,A combination of the DAT markers with the ACC postposition.
constr150-cparam2,constr150,cparam2,cparam2-c4,,,postposition,
constr151-cparam2,constr151,cparam2,cparam2-c8,,hagman-1977[56],suffixal case,This flag is called “subordinate suffix” by Hagman (1977:56).
constr152-cparam2,constr152,cparam2,cparam2-c6,,,preposition,"R marked by (dectically) neutral locative preposition ?en LOC or by deictic locatives ha? LOC (near Speaker), hE? LOC (above Speaker), tO? LOC (lateral to Speaker), cO? LOC (below Speaker)"
constr153-cparam2,constr153,cparam2,cparam2-c2,,,no flagging,
constr154-cparam2,constr154,cparam2,cparam2-c8,,,suffixal case,
constr155-cparam2,constr155,cparam2,cparam2-c8,,,suffixal case,
constr156-cparam2,constr156,cparam2,cparam2-c8,,,suffixal case,Dative Case in –na.
constr157-cparam2,constr157,cparam2,cparam2-c2,,,no flagging,Accusative case on R when T is missing.
constr158-cparam2,constr158,cparam2,cparam2-c2,,,no flagging,
constr159-cparam2,constr159,cparam2,cparam2-c2,,,no flagging,Like P takes the accusative case (-Na) for non-sg common nouns (and female common nouns) or the unmarked absolutive (for other common nouns)
constr160-cparam2,constr160,cparam2,cparam2-c8,,pensalfini-2003,suffixal case,"Dative case with nouns, or accusative with pronouns (which do not have a distinct dative form) If pronominal both R and T are in ACC (446h)"
constr161-cparam2,constr161,cparam2,cparam2-c8,,pensalfini-2003,suffixal case,"Dative case with nouns, or accusative with pronouns (which do not have a distinct dative form) If pronominal both R and T are in ACC (446h)"
constr162-cparam2,constr162,cparam2,cparam2-c8,,pensalfini-2003[108],suffixal case,"Allative case used for Goal. P, 108 suggests that strange marking of T by ERG may be due to thesend taking the -rra marker (the function is otgherwise unclear). However it may be more reasonably related to occasional use of ERG on causees of transitive verbs."
constr163-cparam2,constr163,cparam2,cparam2-c8,,ch001georgvolodin1999,suffixal case,R by allative-dative case.
constr164-cparam2,constr164,cparam2,cparam2-c8,ex297,ch001georgvolodin1999,suffixal case,R by allative-dative case.
constr165-cparam2,constr165,cparam2,cparam2-c2,,,no flagging,
constr166-cparam2,constr166,cparam2,cparam2-c2,,,no flagging,
constr167-cparam2,constr167,cparam2,cparam2-c6,,,preposition,
constr168-cparam2,constr168,cparam2,cparam2-c6,,,preposition,
constr169-cparam2,constr169,cparam2,cparam2-c2,,,no flagging,
constr170-cparam2,constr170,cparam2,cparam2-c2,,,no flagging,
constr171-cparam2,constr171,cparam2,cparam2-c6,,,preposition,Preposition à’ā derived from the verb GIVE.
constr172-cparam2,constr172,cparam2,cparam2-c2,,,no flagging,"Full R and T NPs are unflagged, but there is some flagging in the pronominal system: Pronominal Rs (like Ps) take an Objective case, instantiated by low tone. Cf. Lefebvre (1994: ex. 39a,b)."
constr173-cparam2,constr173,cparam2,cparam2-c6,,ch03lefebvre1994,preposition,"The preposition nú is used for BEN with canonical ditransitives (which use an unmarked R in DOC), and for R with less canonical ditransitives. In principle, R can be a weak (object) pronoun. Yet (p. 100), unlike in Serial Verb Construction there can be no “clitic climbing”, adjunction to the main verbs in Indirective Prepositional Construction."
constr174-cparam2,constr174,cparam2,cparam2-c2,,ch03lefebvre1994,no flagging,Both R and T can take “objective” case if pronominal .
constr175-cparam2,constr175,cparam2,cparam2-c1,,genetti-1997,enclitic case,"Dative-accusative suffix, found with Rs and human Ts. Newari cases are encllitics on nouns and suffixes on pronouns."
constr176-cparam2,constr176,cparam2,cparam2-c6,,,preposition,Characterized by Amberber as a positional prefix (adposition). Differential object marking triggered by definiteness rather than animacy.
constr177-cparam2,constr177,cparam2,cparam2-c8,,amberber-2002[48],suffixal case,Not clear whether T may be ACC marked; Amberber (2002: 48) mentions avoidance of double ACC marking).
constr178-cparam2,constr178,cparam2,cparam2-c2,,,no flagging,No flagging; however T may be marked by obviation marking -an (see other constructions).
constr179-cparam2,constr179,cparam2,cparam2-c2,,,no flagging,
constr180-cparam2,constr180,cparam2,cparam2-c2,,,no flagging,"A, S, P, R arguments are unmarked."
constr181-cparam2,constr181,cparam2,cparam2-c2,,,no flagging,No case on core arguments
constr182-cparam2,constr182,cparam2,cparam2-c2,,,no flagging,
constr183-cparam2,constr183,cparam2,cparam2-c8,,,suffixal case,The dative-accusative case.
constr184-cparam2,constr184,cparam2,cparam2-c6,,foris-2000[167],preposition,"R is introduced by a preposition. No flagging (even in pronouns, which do not distinguish between subject, object and oblique)."
constr185-cparam2,constr185,cparam2,cparam2-c2,,foris-2000[167],no flagging,"No case on core arguments, not even in pronouns, which do not distinguish between subject, object and oblique."
constr186-cparam2,constr186,cparam2,cparam2-c2,,foris-2000[167],no flagging,"No flagging, not even in pronouns, which do not distinguish between subject, object and oblique."
constr187-cparam2,constr187,cparam2,cparam2-c2,,,no flagging,
constr188-cparam2,constr188,cparam2,cparam2-c2,,,no flagging,
constr189-cparam2,constr189,cparam2,cparam2-c8,,,suffixal case,
constr190-cparam2,constr190,cparam2,cparam2-c4,,,postposition,The dative postposition ni.
constr191-cparam2,constr191,cparam2,cparam2-c2,,,no flagging,"NB (p. 47); in dialects, R can be introduced by the preposition kwa, which has also a locative and instrumental function. Personal pronouns do not have case forms either (used only in emphatic function)."
constr192-cparam2,constr192,cparam2,cparam2-c4,,,postposition,The dative postposition.
constr193-cparam2,constr193,cparam2,cparam2-c7,,,serial verb,By the serial verb kan GIVE.
constr194-cparam2,constr194,cparam2,cparam2-c2,,,no flagging,
constr195-cparam2,constr195,cparam2,cparam2-c7,,,serial verb,Double marking of R by the serial verb kan 'give' and the postposition á.
constr196-cparam2,constr196,cparam2,cparam2-c4,,bhatia-1993,postposition,The dative posposition nüü also used as ACC marker with monotransitives.
constr197-cparam2,constr197,cparam2,cparam2-c8,,,suffixal case,
constr198-cparam2,constr198,cparam2,cparam2-c2,,,no flagging,"Both R and T (like P) are unmarked for case. This also holds for pronouns, which have the unmarked forms in these functions, while the ergative marker extends from A to S."
constr199-cparam2,constr199,cparam2,cparam2-c1,,kutscher-2001,enclitic case,"Dative is lacking on pronouns; in some dialects like Ardeşen-Laz (Kutscher 2001), it is also lacking on nouns."
constr200-cparam2,constr200,cparam2,cparam2-c8,,,suffixal case,
constr201-cparam2,constr201,cparam2,cparam2-c2,,,no flagging,
constr202-cparam2,constr202,cparam2,cparam2-c2,,,no flagging,
constr203-cparam2,constr203,cparam2,cparam2-c4,,,postposition,
constr204-cparam2,constr204,cparam2,cparam2-c2,,,no flagging,
constr205-cparam2,constr205,cparam2,cparam2-c2,,,no flagging,
constr208-cparam2,constr208,cparam2,cparam2-c2,,,no flagging,
constr209-cparam2,constr209,cparam2,cparam2-c6,,,preposition,
constr210-cparam2,constr210,cparam2,cparam2-c2,,,no flagging,No flagging of R and T (even with pronouns)
constr211-cparam2,constr211,cparam2,cparam2-c2,,,no flagging,No flagging of R and T (even with pronouns)
constr212-cparam2,constr212,cparam2,cparam2-c2,,,no flagging,No flagging of R and T (even with pronouns)
constr213-cparam2,constr213,cparam2,cparam2-c8,,,suffixal case,"Oblique case is marked by suffixes on pronouns (see above), by prefixes (t-, etc) on personal pronouns. In DOC both R and T are marked by OBL case (used for R, P’, EXP, POS). T, however, is marked by oblique if prominent: differential object marking."
constr214-cparam2,constr214,cparam2,cparam2-c6,,,preposition,"o and dæ are allative prepositions, =ra is a benefactive postposition. Adpositional R can be introduced by the allative preposition o (with GIVE), an allative-locative preposition dæ with SAY/TELL and with benefactive postposition =ra with Beneficiaries. In all the cases the R takes the oblique case."
constr216-cparam2,constr216,cparam2,cparam2-c8,,,suffixal case,"Oblique case is marked by suffixes on pronouns (see above), by prefixes (t-, etc) on ersonal pronouns."
constr217-cparam2,constr217,cparam2,cparam2-c6,,stilo-2010,preposition,"o and dæ are allative prepositions, =ra is a benefactive postposition. Adpositional R can be introduced by the allative preposition o (with GIVE), an allative-locative preposition dæ with SAY/TELL and with benefactive postposition =ra with Beneficiaries. In all the cases the R takes the oblique case."
constr218-cparam2,constr218,cparam2,cparam2-c2,,,no flagging,No case on core arguments either nominal or pronominal (for oblique roles postpositions/enclitics are used).
constr219-cparam2,constr219,cparam2,cparam2-c4,,,postposition,"The postposition =wya ‘to, by’. No case for S/A/O, pronouns also unmarked for case."
constr220-cparam2,constr220,cparam2,cparam2-c8,,,suffixal case,"R is marked as the possessor of T, by a combination of possessive prefixes and suffixes. Within the possessive construction the possessed is marked by possessive prefixes in conjunction with the possessive suffix, cumulatively expressing tense (present/past possession) as well as “collective/noncollective” distinctions (number)."
