ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Analyzed_Text,Original_Orthography,Translation_Other,Type
ex443,djin1251,"Dungumi-nginyi-ju ngarnu, nganku ngunya-nga-ju ngarnu.","Dungumi-nginyi-ju	ngarnu,	nganku	ngunya-nga-ju	ngarnu.",pay.back-1.SBJ.2.OBJ-do	3SG.ACC.M	2SG.ACC	give-1SG-do	3SG.ACC.M,"I’m paying you back for this, giving you this one.",,,,pensalfini-2003[107],,,,
ex444,itel1242,"T’sal-aj heni-s-kinen: ""zaq salke әļçku-ka-q"".","T’sal-aj	heni-s-kinen:	""zaq	salke	әļçku-ka-q"".",Fox-PEJ	say-PRS-3SG:3SG.INDIR	PROH	around	look-KKM-NEG,"The fox said to him: ""Don’t have a look-around!""",,,,ch001georgvolodin1999[147],,,,
ex445,yuec1235,ngoh bei2-zo2 bun2 syu keuih,ngoh	bei2-zo2	bun2	syu	keuih,I	give-PFV	CLF	book	he,I’ve given him/her a book.,,,,bodomo-etal-2003[62 (ex.5)],,,,
ex446,yuec1235,Ngoh jaang keuih yat baak man,Ngoh	jaang	keuih	yat	baak	man,I	owe	he	one	hundred	dolar,I owe him a hundred dollars.,,,,xu-peyraube-1997[109 (ex.9a)],,,,
ex447,kung1261,mí má kē nē’ē g||ú (kē à).,mí	má	kē	nē’ē	g||ú	(kē	à).,1SG	TOP	PST	give	water	(TR	2SG),I gave (you) water.,,,,konig-heine-2010[(ex.18a)],,,,
ex448,kung1261,mí má kē nē|ē-ā à (kē g||ú).,mí	má	kē	nē|ē-ā	à	(kē	g||ú).,1SG	TOP	PST	give-T	2SG	(TR	water),I gave you (water).,,,,konig-heine-2010[(ex.18b)],,,,
ex449,fonn1241,Kɔ̀kú xɛ́lɛ́ xwé ɔ́ Àsíbá.,Kɔ̀kú	xɛ́lɛ́	xwé	ɔ́	Àsíbá.,Koku	show	house	DET	Asiba,Koku showed Asiba the house.,,,,ch03lefebvre1994[71 (ex.2b)],,,,
ex450,fonn1241,Kɔ̀kú sú xɔ̀kwɛ́ ɔ́ nú Àsíbá.,Kɔ̀kú	sú	xɔ̀kwɛ́	ɔ́	nú	Àsíbá.,Koku	pay	rent	DET	to	Asiba,Koku payed the rent to Asiba (the owner of the house).,,,,ch03lefebvre1994[118 (ex.106)],,,,
ex451,fonn1241,Kɔ̀kú sɔ́ xwé ɔ́ xɛ́lɛ́ Àsíbá.,Kɔ̀kú	sɔ́	xwé	ɔ́	xɛ́lɛ́	Àsíbá.,Koku	take	house	DET	show	Asiba,Koku showed the house to Asiba.,,,,ch03lefebvre1994[91 (ex.57b)],,,,
ex452,amha1245,lәmma mәs’haf sәt’t’-ә-*(ññ),lәmma	mәs’haf	sәt’t’-ә-*(ññ),Lemma	book	give.PRF-3.M-*(3.M.OBJ),Lemma gave a book to me.,,,,ch001amberber2009[(ex.19b)],,,,
ex453,east2542,mii go naa giin/niin/niwi CHAMNGE-gii-awih-Ø-aa-d g-ookomis,mii	go	naa	giin/niin/niwi	CHAMNGE-gii-awih-Ø-aa-d	g-ookomis,EMPH	EMPH	EMPH	you/me/him	COMP-PST-try-AN.ABS-3AN.PRM.OBJ-3.SBJ	2.POSS-grandmother,Your grandmother loaned you/me/him to her.,,,,rhodes-1990[409 (ex.20)],,,,
ex454,east2542,nimbiishi ni-gii=minikwe-ni.,nimbiishi	ni-gii=minikwe-ni.,wateri	1.SBJ-PST=drink-OBJi,I drank some water.,,,,ch21rhodes2005[6 (ex.12a)],,,,
ex455,halk1245,ni cən yəθ-əs-θ-ámə ʔə-λ’ Bob,ni	cən	yəθ-əs-θ-ámə	ʔə-λ’	Bob,AUX	1.SBJ	tell-ADV.A-TR-2.OBJ	OBL-DET	Bob,I told you about Bob.,,,,ch001gerdts1982[95 (ex.19)],,,,
ex456,zulu1248,Umama u-tshela amantombazana indaba.,Umama	u-tshela	amantombazana	indaba.,1.mother	1.SC-tell	6.girls	9.news,Mother tells the girls the news.,,,,ch01taylor1997[74 (ex.7b)],,,,
ex457,zulu1248,[Ba-ku-phek-el-e yena] ukudla.,[Ba-ku-phek-el-e	yena]	ukudla.,[2.SC-15.OC-cook-APPL-PST	him]	15.food,They cooked for him the food.,,,,ch01taylor1997[85 (ex.29b)],,,,
ex458,soch1239,Cuen3 tsú2 jan2 mí’tiei21 ñí’con2 jon2,Cuen3	tsú2	jan2	mí’tiei21	ñí’con2	jon2,give.FUT.3	3	one.AN	cat	to	child.3,S/he will give a cat to her/his child.,,,,ch01foris1998[242 (ex.52)],,,,
ex459,soch1239,Cuen3 tsú2 jon2 jan2 mí’tiei21,Cuen3	tsú2	jon2	jan2	mí’tiei21,give.FUT.3	3	child.3	one.AN	cat,S/he will her/his child a cat.,,,,ch01foris1998[242 (ex.53)],,,,
ex460,ewee1241,Kofí ná Amí ga,Kofí	ná	Amí	ga,Kofi	give	Ami	money,Kofi gave Ami money.,,,,essegbey-1999[145 (ex.2)],,,,
ex461,ewee1241,Kofí tsɔ́ ga lá ná nyɔ́nuví áɖé,Kofí	tsɔ́	ga	lá	ná	nyɔ́nuví	áɖé,Kofi	take	money	DEF	give	girl	SPECI,Kofi gave the money to a certain girl.,,,,essegbey-1999[156 (ex.25)],,,,
ex462,nucl1643,sensee ga kodomo ni sansuu o oshieru,sensee	ga	kodomo	ni	sansuu	o	oshieru,teacher	NOM	child	DAT	arithmetic	ACC	teach,the teacher teaches the children arithmetic,,,,iwasaki-2002[94 (ex.m/i)],,,,
ex463,supy1237,U ɲyɛ à lɛtɛrí ‘túúgó mìì á mɛ.,U	ɲyɛ	à	lɛtɛrí	‘túúgó	mìì	á	mɛ.,he	NEG	PRF	letter	send	me	to	NEG,He didn’t send a letter to me.,,,,carlson-1994[270 (ex.88c)],,,,
ex464,supy1237,Yi a Kile ɲààrè mìì nà.,Yi	a	Kile	ɲààrè	mìì	nà.,you.NDECL	SBJV.IPFV	God	beg.IPFV	me	on,You must pray God for me.,,,,carlson-1994[271 (ex.92)],,,,
ex465,lazz1240,ko-me-k-č-u,ko-me-k-č-u,PV-PV-II2-give-AOR.I3S,She gave it to you.,,,,lacroix-2007[6 (ex.21b)],,,,
ex466,cash1254,Paku-n Haidu kənə ɟunu-mis.,Paku-n	Haidu	kənə	ɟunu-mis.,Paco-ERG	Jairo	letter	send.message-HAB,Paco sends Jairo messages.,,,,eliane-camargo-2007[1883],,,,
ex467,lazz1240,nana bere şeni a çitabi eç̌opuy,nana	bere	şeni	a	çitabi	eç̌opuy,mother	child	for	a	book	buy:[3>3]S:PRS,The mother buys a book for the child.,,,,kutscher-2001[182 (ex.74)],,,,
ex468,lazz1240,juma-pe-s xoja-še mutu var-Ø-a-tkv-es,juma-pe-s	xoja-še	mutu	var-Ø-a-tkv-es,brother-PL-DAT	hoja-ALL	something	NEG-II3-POT-say-AOR.I3S.II3P,The brothers couldn’t say anything to the hoja.,,,,,,,,
ex469,olut1240,jeʔ ʔu:ra=k ta=mo:yʔ-küx-i ʔi=koʔpan,jeʔ	ʔu:ra=k	ta=mo:yʔ-küx-i	ʔi=koʔpan,that	hour=AN	C.3(ERG)=give-3PL-COMD	A3(POSS)=hat,At that time they gave him his hat.,,,,zavala-maldonaldo-2002[671 (ex.8d)],,,,
ex470,olut1240,ta=juy-ay-i=k tzuʔtz+i,ta=juy-ay-i=k	tzuʔtz+i,C.3(ERG)=buy-APPL1-COMD=AN	meat,Hei bought meat for himj.,,,,zavala-maldonaldo-2002[681 (ex.24b)],,,,
ex471,panj1256,parkaash ne ó nüü/de laii kataab pèjii.,parkaash	ne	ó	nüü/de	laii	kataab	pèjii.,Parkash	ERG	he	DAT/GEN.M.SG.OBL	for	book	send:PST.F.SG,Parkash sent a book to him (for him).,,,,bhatia-1993[173 (ex.531)],,,,
ex472,yoru1245,Mo fún ẹ ní ìwé náà,Mo	fún	ẹ	ní	ìwé	náà,1SG	give	2SG	PREP	book	DEF,I gave you the book.,,,,atoyebi-2009,,,,
ex473,yoru1245,Mo fi ìwé fún ẹ,Mo	fi	ìwé	fún	ẹ,1SG	take	book	give	you,I gave the book to you.,,,,atoyebi-2009,,,,
ex474,yoru1245,Ó ráns̩é̩ sí me,Ó	ráns̩é̩	sí	me,He	sent	PREP	me,he sent to me.,,,,atoyebi-2009,,,,
ex475,yoru1245,Ó ráns̩é̩ sí me.,Ó	ráns̩é̩	sí	me.,He	sell.cloth	to	me,He sold some clothes to me.,,,,atoyebi-2009,,,,
ex476,lang1324,lócə̀ òmìyá búk,lócə̀	òmìyá	búk,man	3s:give.PFV.1s	book,The man gave me the book.,,,,noonan-1992[121 (ex.4)],,,,
ex477,lang1324,rwòt òcwàlɛ́ bòtə́,rwòt	òcwàlɛ́	bòtə́,king	3s:send.PFV.3s	to:1s,The king sent him to me.,,,,noonan-1992[141 (ex.4)],,,,
ex478,amel1241,Uqa sab i-te-i-a.,Uqa	sab	i-te-i-a.,3s	food	PRED-1s-3s-TOD.PST,He gave the food to me.,,,,roberts-1987[281 (ex.539)],,,,
ex479,amel1241,Uqa jo ceh-ad-ut-en.,Uqa	jo	ceh-ad-ut-en.,3SG	house	build-3PL-3SG-REM.PST,He built houses for her.,,,,roberts-1987[280 (ex.530)],,,,
ex480,amel1241,Uqa jacas qet-i-ad-ei-a.,Uqa	jacas	qet-i-ad-ei-a.,3s	tobacco	cut-DAT-3p:OO-3s:SBJ-TOD.PST,He cut tobacco for them.,,,,ch01roberts1998[18 (ex. 25a)],,,,
ex481,vafs1240,ciz i-r-go æz há-do-m hazún=i?,ciz	i-r-go	æz	há-do-m	hazún=i?,what	2SG-DU-want	I.DIR	PVB-give-1SG	OPB=2SG,What do you want me to give you?,,,,stilo-2010[(ex. 8)],,,,
ex482,vafs1240,kaqæ _n-nivis-om esdæ=ra.,kaqæ	_n-nivis-om	esdæ=ra.,paper	DUR-write-1SG	you.OBL=BEN,I’ll write you a letter.,,,,stilo-2010[(ex. 23)],,,,
ex483,vafs1240,xoda qoæt=ian (h)á-do-Ø!,xoda	qoæt=ian	(h)á-do-Ø!,God	strength=2PL	PVB-give-3SG,May God give you strength!,,,,stilo-2010[(ex.51b)],,,,
ex484,vafs1240,næne-y=s hár=es=da yey æzin adui mizán-i.,næne-y=s	hár=es=da	yey	æzin	adui	mizán-i.,mother-OBL.F=3SG	PVB=3SG=gave	one	such	person	fine-OBL,He betrothed his mother to a such a fine man.,,,,stilo-2010[(ex.7)],,,,
ex485,vafs1240,yey xærbozæ=san æ-day o tini.,yey	xærbozæ=san	æ-day	o	tini.,one	melon=3PL	PVB-gave	to	he.OBL,They gave him a melon.,,,,stilo-2010[(ex.27a)],,,,
ex486,abkh1244,s-àš-c°a àž°abž Ø-s+à-r-ħ°e-yt’,s-àš-c°a	àž°abž	Ø-s+à-r-ħ°e-yt’,my-brother-PL	the.news	it-me+to-they-tell-FIN,My brothers told me the news.,,,,hewitt-1989[105],,,,
ex487,hixk1239,"nenhoryeye Waraka, rokrahan me","nenhoryeye	Waraka,	rokrahan	me","he:made:it	Waraka,	my:bow	DENMLZ",Waraka made it to be my bow.,,,,derbyshire-1979[94 (ex.210b)],,,,
ex488,lavu1241,o-na nei ga e-ne-tai-re.,o-na	nei	ga	e-ne-tai-re.,3SG.F.OBJ-in	coconut(N)	3SG.N.ART	3SG.N.OBJ-2SG.SBJ-show-FUT,... you will show the coconut to her.,,,,terrill-2003[229 (ex. 335)],,,,
ex489,kwaz1243,xyi-’wã ute-’ta-nĩnã-da-ki,xyi-’wã	ute-’ta-nĩnã-da-ki,you-AO	notify-TRA-2.OBJ-1.SBJ-DECL,I told you.,,,,voort-2004[110],,,,
ex490,tari1256,nha nese nemhani-ɾi-nuku di-a dhita-nipe-nuku di-hẽ-ta-pidana di-na,nha	nese	nemhani-ɾi-nuku	di-a	dhita-nipe-nuku	di-hẽ-ta-pidana	di-na,3PL	then	3PL.walk-REL-TOP.NON.A/S	3SG.NF-go	3SG.NF.take-NOM-TOP.NON.A/S	3SG.NF-point.at.CAUS1-CAUS2-REM.PST.REP	3SG.NF-OBJ,He (the poor soldier) showed him (the king) what he had taken at the place where they (the king’s daughters) had walked.,,,,aikhenvald-y.-2003[280],,,,
ex491,tari1256,phia kaini [pi-ni pi-ñha] na-na,phia	kaini	[pi-ni	pi-ñha]	na-na,you	manioc	[2SG-do	2SG-eat]	3PL-OBJ,Prepare manioc for them to eat.,,,,aikhenvald-y.-2003[437],,,,
ex492,lele1276,yágí-dí bí-gí kásà,yágí-dí	bí-gí	kásà,plant-3.M	DAT-2.M	corn,He planted corn for you.,,,,frajzyngier-2001[134],,,,
ex493,kiny1244,Umugabo y-a-he-er-eye abagóre ábáana ibitabo,Umugabo	y-a-he-er-eye	abagóre	ábáana	ibitabo,man	he-PST-give-BEN-ASP	woman	children	books,The man gave the books to the children for the women.,,,,ch001kimenyi1980[106],,,,
ex494,umat1237,áw-ani-yay-a=aš k’úsi-na tawtnúk,áw-ani-yay-a=aš	k’úsi-na	tawtnúk,3.ABS-make-BEN-PST=1SG	horse-OBJ	medicine,I made the horse the medicine.,,,,rude-1997[328],,,,
ex495,nucl1302,gela u-k’erav-s axal šarval-s merab-s,gela	u-k’erav-s	axal	šarval-s	merab-s,Gela.NOM	APP-sew.PRS-3SG	new	trousers-DAT	Merab-DAT,Gela is making new trousers for Merab.,,,,harris-1981[91],,,,
ex496,nucl1302,gela-m še<u>k’er-a axal-i šarval-i merab-s,gela-m	še<u>k’er-a	axal-i	šarval-i	merab-s,Gela-ERG	<APPL>sew.AOR-3SG	new-NOM	trousers-NOM	Merab-DAT,Gela made new trousers for Merab.,,,,harris-1981[91],,,,
ex497,nucl1302,turme mepe-s šen-tvis gauc’mendinebi-a sasaxle,turme	mepe-s	šen-tvis	gauc’mendinebi-a	sasaxle,apparently	king-DAT	you-for	clean.CAUS.PRF-3SG	palace.NOM,Apparently the king has made you clean the palace.,,,,harris-1981[132],,,,
ex498,mana1295,nátu go-ruʔu-í-a-n-a,nátu	go-ruʔu-í-a-n-a,child	2SG.IRR-wash-3SG.OBJ-BF-BEN-1SG.OBJ,Wash the child for me!,,,,ch001lichtenberk1983[165],,,,
ex499,ship1254,Pena-n-ra xontako joni mera-xon-ke.,Pena-n-ra	xontako	joni	mera-xon-ke.,Pena-ERG-EV	unmarried_girl:ABS	man:ABS	find-BEN-COMPL,Pena found a man for the unmarried girl. / Pena found an unmarried girl for the man.,,,,valenzuela-2003[529],,,,
ex500,wari1268,To’ ‘cat ne xe.,To’	‘cat	ne	xe.,hit	break.SBJ	2SG.1SG.RF	fire/firewood,Cut for me firewood.,,,,ch001everettkern1997[129 (ex.196d)],,,,
ex501,tami1289,raajaa kumaar-ukku⋅k katav-ai⋅t tiṟa-ntu koṭu-tt-aaṉ,raajaa	kumaar-ukku⋅k	katav-ai⋅t	tiṟa-ntu	koṭu-tt-aaṉ,Raja	Kumar-DAT	door-ACC	open-VBP	give-PST-3SG.M,Raja opened the door for Kumar.,,,,lehmann-1993[227],,,,
ex502,yaqu1251,Aurelia-Ø Goyo-ta u-ka wakabak-ta joa-ria-k.,Aurelia-Ø	Goyo-ta	u-ka	wakabak-ta	joa-ria-k.,Aurelia-NOM	Goyo-ACC	the-ACC	wakabaki-ACC	cook-APPL-PST.PFV,Aurelia cooked Goyo the wakabaki.,,,,ch001guerrerovanvalin2004[310 (ex.39b)],,,,
ex503,haka1240,tsewmaŋ=niʔ rool ʔa-ka-tsuan-piak,tsewmaŋ=niʔ	rool	ʔa-ka-tsuan-piak,Tsewmang=ERG	meal	3SG.SBJ-1SG.OBJ-prepare-BEN,Tsewmang made a meal for me.,,,,peterson-1998[97],,,,
ex504,nort2954,su=nana kuna i=kutsa-ki-u,su=nana	kuna	i=kutsa-ki-u,NOM=man	firewood	1=split.wood-APPL-PNC,The man split firewood for me.,,,,ch001thornes2003[268],,,,
ex505,indo1316,Mereka men-awar-i saya bantuan.,Mereka	men-awar-i	saya	bantuan.,they	TR-offer-APPL	me	help,They offered me help.,,,,sneddon-1996[96],,,,
ex506,cham1312,Hu fatinas-i hao kafe,Hu	fatinas-i	hao	kafe,1SG.NOM	cook-APPL	2SG.ABS	coffee,I made some coffee for you.,,,,topping-1973[249],,,,
ex507,mani1292,ma-nə ey-gi layrik pa-bi,ma-nə	ey-gi	layrik	pa-bi,3SG-NOM	1SG-GEN	book	read-BEN,He read the book for me.,,,,bhat-ningomba-1997[131],,,,
ex508,teop1238,Enam na von ki ma-[e iaa] [bona nahu a voon],Enam	na	von	ki	ma-[e	iaa]	[bona	nahu	a	voon],1PL.EXCL.ART	TAM	buy	DAT	DIR-[ART	Mum]	[OBJ.ART	saucepan	ART	new],We bought Mum a new saucepan.,,,,mosel-2006[(ex.31)],,,,
ex509,kala1399,qaanna-mik sana-ap-paa,qaanna-mik	sana-ap-paa,boat-INS	make-APPL-IND.3SG>3SG,He made a kayak for him.,,,,ch001fortescue1984,,,,
ex510,kala1399,niviarsiaq uqar-vig-aat,niviarsiaq	uqar-vig-aat,girl.ABS.SG	say-APPL-IND.3PL>3SG,The told (it to) the girl.,,,,ch001fortescue1984[88],,,,
ex511,alam1246,yima-r yimat-r kriy-t tat-hay-më-r-r,yima-r	yimat-r	kriy-t	tat-hay-më-r-r,person-3SG.M	friend-3SG.M	chicken-3SG.F	hit-BEN-REM.PST-3SG.M-3SG.M,A man hit (=killed) a chicken for the benefit of a friend. (OR: A man killed a chicken for a friend.),,,,ch001bruce1984[231],,,,
ex512,koas1236,kom-in-có<s>pa<V́ʔV́>-to,kom-in-có<s>pa<V́ʔV́>-to,1PL.DAT-3.DAT-buy<2SS(1B)><Q>-PST,Did you buy it from him for us?,,,,ch01kimball1991[133 (ex.74)],,,,
ex513,movi1243,rim-eɬ-na-kwa-na=us nono’ n-os ma:kina=’nes majniwa=us,rim-eɬ-na-kwa-na=us	nono’	n-os	ma:kina=’nes	majniwa=us,trade-APPL-DR-BEN-DR=ART.M	grandparent	OBL-ART.N.PST	machine=ART.F	child_of=M.AB,My grandfather bought the [sewing] machine for his daughter. (lit. My grandfather brought his daughter's machine (for her).),,,,haude-2006[398],,,,
ex514,movi1243,che pe~peń-kwa-n-kay kus alwaj-a=n,che	pe~peń-kwa-n-kay	kus	alwaj-a=n,and	DR~greet-BEN-LN-INV	ART.M.AB	spouse-LV=2,And [you] greet your husband for me.,,,,haude-2006[397],,,,
ex515,dyir1250,bala yugu baŋgul yaɽaŋgu balgalman bagun ᶁugumbilgu,bala	yugu	baŋgul	yaɽaŋgu	balgalman	bagun	ᶁugumbilgu,DET.NOM.I	stick.NOM	DET.ERG.I	man.ERG	hit.INS.PRS/PST	DET.DAT.II	woman.DAT,[The] man is hitting [the] woman with [the] stick.,,,,ch001dixon1972[95 (ex.253)],,,,
ex516,tuka1249,No-helo’a-ako te ina-no.,No-helo’a-ako	te	ina-no.,3.R-cook-APPL	CORE	mother-3.POSS,They cooked for their mother.,,,,ch001donohue1999[225],,,,
ex517,arhu1242,nā-k-una’-na,nā-k-una’-na,1.OBJ-APPL-bring-DIST,he brought something to me,,,,frank-1985,,,,
ex518,kore1280,Minca-nun Yongho-eykey swuceyhay cwu-ess-eyo.,Minca-nun	Yongho-eykey	swuceyhay	cwu-ess-eyo.,Minca-TC	Yongho-to(DAT)	do.homework	do.for-PST-POL,Minca did homework for Yongho.,,,,sohn-1994[244],,,,
ex519,nama1264,píli ke jón-à maría-s-à ǂxaní-s-à kè màa-pa.,píli	ke	jón-à	maría-s-à	ǂxaní-s-à	kè	màa-pa.,Bill	DECL	John-OBL	Mary-PGN-OBL	letter-PGN-OBL	TNS	give-APPL,Bill gave Mary the letter for John.,,,,hagman-1977[79],,,,
ex520,dier1241,ŋaḍa nawu wakaṛa-yi ŋaliṇi puka paḍaka-yirpa-ṇa,ŋaḍa	nawu	wakaṛa-yi	ŋaliṇi	puka	paḍaka-yirpa-ṇa,then	3SG.NF.S	come-PRS	1DU.EXCL.DAT	food.ABS	carry-BEN-REL.SS,Then he comes carrying food for us two.,,,,austin-1981[78],,,,
ex521,kung1261,|xùM |à’ā mí kē ḿ |à’ā mí Mhè |ūiā.,|xùM	|à’ā	mí	kē	ḿ	|à’ā	mí	Mhè	|ūiā.,help	BEN	1SG	TR	food	BEN	1SG	children	only,Help me with food only for my children.,,,,konig-heine-2010[(ex.46c)],,,,
ex522,amha1245,lә-lɨj̆-u sәt’t’ә-hu-llә-t,lә-lɨj̆-u	sәt’t’ә-hu-llә-t,for-boy-DEF.M	give.PRF-1SG-for-3.M.OBJ,I gave it (to someone) for the (benefit of) the child.,,,,ch001amberber2009[(ex.3b)],,,,
ex523,east2542,ni-gii-giishpina-d-am-aw-aa,ni-gii-giishpina-d-am-aw-aa,1.SBJ-PST-buy-STF-ADVC-AN.ABS-3.AN.PRM.OBJ,I bouhgt him a book.,,,,rhodes-1990[412 (ex.27)],,,,
ex524,halk1245,ni q’wə́l-əɬc-t-əs ɬə sɬéniʔ ʔə kwθə səplíl,ni	q’wə́l-əɬc-t-əs	ɬə	sɬéniʔ	ʔə	kwθə	səplíl,AUX	bake-ADV.B-TR-3.ERG	DET	woman	OBL	DET	bread,He baked the bread for the woman.,,,,ch001gerdts1982[90 (ex.2)],,,,
ex525,zulu1248,Ngi-theng-el-e ubaba iphepha.,Ngi-theng-el-e	ubaba	iphepha.,1SG:SC-buy-APPL-PST	1.father	5.paper,I bought father a newspaper. (OR: I bought a newspaper for father.),,,,ch01taylor1997[78 (ex.14b)],,,,
ex526,nucl1284,taa goṛɔ bhang-i-ja-i-ch-i.,taa	goṛɔ	bhang-i-ja-i-ch-i.,his	leg	break-CVB-V2:go-CVB-AUX-3SG,He has broken his leg. (lit. His leg has broken.),,,,neukom-patnaik-2003[279 (ex.2a)],,,,
ex527,kaza1248,men ogun üy sal-ïp ber-di-m,men	ogun	üy	sal-ïp	ber-di-m,I	him.DAT	house	build-CVB	give-PST-1SG,I built him a house. (building gave),,,,mawkanuli-na,,,,
ex528,nucl1643,watashi wa ane-no-tame ni baasudeekeeki o yaita,watashi	wa	ane-no-tame	ni	baasudeekeeki	o	yaita,I	TOP	older_sister-LK-sake	DAT	birthday:cake	ACC	bake:PST,I baked a birthday cake for my elder sister.,,,,iwasaki-2002[152 (ex.74)],,,,
ex529,swah1253,Badru a-li-mw-andik<i>a barua Ahmed,Badru	a-li-mw-andik<i>a	barua	Ahmed,Badru	he-PST-to.him-write<DAT>	letter	Ahmed,Badru wrote a letter to Ahmed.,,,,ch001vitale1981[44 (ex.54b)],,,,
ex530,lazz1240,badi-k bere-s ar k’ai dolokun d-u-xen-u,badi-k	bere-s	ar	k’ai	dolokun	d-u-xen-u,old.man-ERG	boy-DAT	one	good	garment	PV-II3.APPL-make-AOR.I3S,The old man made a nice garment for the boy.,,,,lacroix-2007[2 (ex.6)],,,,
ex531,cash1254,ən mia hiwə wa-ʂun-ai,ən	mia	hiwə	wa-ʂun-ai,I	you	house	make-APPL-PRS,I build you a house.,,,,,,,,
ex532,olut1240,ʔi=nükx-i=xü=k ta=tu:tʔ-aʔ-i=k nü:nüʔi=yoʔwe,ʔi=nükx-i=xü=k	ta=tu:tʔ-aʔ-i=k	nü:nüʔi=yoʔwe,A.3(ABS)=go-COMD=EV=AN	C.3(ERG)=put-APPL1-INCD=AN	A.3(POSS)=husband,She went to take them (the tortillas) to her husband.,,,,zavala-maldonaldo-2002[664 (ex.1c)],,,,
ex533,panj1256,ó ne xat likh dittaa.,ó	ne	xat	likh	dittaa.,he	ERG	letter	write	give:PST.M.SG,He wrote the letter (for someone).,,,,bhatia-1993[253],,,,
ex534,yoru1245,Ó kó̩ ilé fún mi,Ó	kó̩	ilé	fún	mi,3SG.SBJ	build	house	DON	1SG.OBJ,he built me a house.,,,,ch02atoyebi2010[153],,,,
ex535,lang1324,dákô òtèddì lócə̀ rìŋó,dákô	òtèddì	lócə̀	rìŋó,woman	3s:cook.BEN.PFV	man	meat,The woman cooked the meat for the man.,,,,noonan-1992[120 (ex.1b)],,,,
ex536,amel1241,Uqa meen eu hel-ad-i-ad-ei-a.,Uqa	meen	eu	hel-ad-i-ad-ei-a.,3s	stone	that	throw-3p:DO-DAT-3p:IO/3p:OO-3s:SBJ-TOD.PST,He threw stones at/for you/them.,,,,ch01roberts1998[6 (ex.6b)],,,,
ex537,abkh1244,Àxra yə-zə̀(+n)/yə-zə̀+ħ°a(+n) yə-q’a-s-c’è-yt’,Àxra	yə-zə̀(+n)/yə-zə̀+ħ°a(+n)	yə-q’a-s-c’è-yt’,Axra	him-for/him-for	it-PREV-I-do-FIN,I did it for Axra.,,,,hewitt-1989[113],,,,
ex538,hixk1239,Waraka yahomtono Kaywerye (y-aho-mto-no),Waraka	yahomtono	Kaywerye	(y-aho-mto-no),Waraka	he:made:a:stool:for:him	Kaywerye	(3.SBJ.3.OBJ-stool-BEN-IMM.PST),Kaywerye made a stool for Waraka.,,,,derbyshire-1979[94 (ex.208b)],,,,
ex539,umat1237,ɨwinš-mí-yaw=naš pa-šapá-wawyan-a,ɨwinš-mí-yaw=naš	pa-šapá-wawyan-a,man-GEN-ALL=1SG	3PL.NOM-CAUS-whip-PST,They had me whipped by the man.,,,,rude-1997[339],,,,
ex540,umat1237,ɨwínš-na patá-šapa-wawyan-a ína,ɨwínš-na	patá-šapa-wawyan-a	ína,man-OBJ	3PL.NOM/SG.OBJ-CAUS-whip-PST	1SG.OBJ,They had the man whip me.,,,,rude-1997[339],,,,
ex541,ship1254,Pena-n-ra ranon jawen xontako bi-ma-ke.,Pena-n-ra	ranon	jawen	xontako	bi-ma-ke.,Pena-ERG-EV	young_man:ABS	POSS.3SG	unmarried_girl:ABS	get-CAUS-CMPL,Pena married her daughter to the young man. / Pena married the young man to her daughter.,,,,valenzuela-2003[529],,,,
ex542,even1259,Alagumni bejetken-me unta-l-va-n olgi-vkon-e-n.,Alagumni	bejetken-me	unta-l-va-n	olgi-vkon-e-n.,teacher	boy-ACC.DEF	fur.boot-PL-ACC.DEF-3SG.POSS	dry-CAUS-NFUT-3SG,The teacher made the boy dry his fur boots.,,,,ch10nedjalkov1997[231],,,,
ex543,yaqu1251,Goyo-Ø im chu’u-ta nee me’e-tua-k.,Goyo-Ø	im	chu’u-ta	nee	me’e-tua-k.,Goyo-NOM	1SG.POSS	dog-ACC	1SG.ACC	kill-CAUS-PST.PFV,Goyo made me kill my dog.,,,,ch001guerrerovanvalin2004[312 (ex.42b)],,,,
ex544,haka1240,niihuu=niʔ boom khaa ʔa-ka-hmuʔ-sak,niihuu=niʔ	boom	khaa	ʔa-ka-hmuʔ-sak,Ni.Hu=ERG	basket	DEIC	3SG.SBJ-1SG.OBJ-see-CAUS,Ni Hu showed me the basket.,,,,peterson-1998[94],,,,
ex545,nort2954,ɨmi ka=kidɨ mi=tɨka-kɨ-u,ɨmi	ka=kidɨ	mi=tɨka-kɨ-u,3PL	OBL=groundhog	1.EXCL=eat-APPL-PNC,They let us eat the groundhog.,,,,ch001thornes2003[268],,,,
ex546,tzot1262,Č-av-ak’-be-ø s-tiʔ-ø čoy.,Č-av-ak’-be-ø	s-tiʔ-ø	čoy.,ASP-ERG.2-let-BEN-ABS.3	ERG.3-eat-ABS.3	fish,You are letting them eat fish.,,,,aissen-1983[289 (ex.69)],,,,
ex547,cham1312,Hu na’-kanno’ i ga’lagu ni katne,Hu	na’-kanno’	i	ga’lagu	ni	katne,1SG.NOM	CAUS-eat	the	dog	the.OBL	meat,I let the dog eat the meat.,,,,topping-1973[248],,,,
