Construction_ID,Construction_name,Construction_schema,Description,Language_ID,Construction_meanings::Meaning_ID,Construction_examples::Example_ID,Construction_references::Reference_ID,Construction_references::Pages
132,Secundative Instrumental Construction,A-abs R-abs T-ins V.subj[A].obj[R],"R is in the absolutive case and is cross-referenced by object agreement. T is in the instrumental case and not indexed. 
This is a basic construction for canonical ditransitives. For the derived indirective construction, see ‘Applicatives’, and ‘Indirective construction’.",2568,2,1606,325,
133,Indirective Allative Construction,A-abs T-abs R-all V.subj[A].obj[T],"T is in the absolutive case and is cross-referenced by object agreement. R is in the allative case and not indexed. 
This construction is found with less canonical ditransitives with a beneficiary argument, or with applicative (”antibenefactive”) forms of canonical  ditransitives (see the ‘secundative construction’).",2568,2,1607,325,
,,,,,,1835,,
134,Dative Construction (Imperfective Series),A.nom AUX-a/s-(a/s-t/p-r) R.dat T(dat),"In imperfective tenses: A is in the nominative, R in the dative, and T (as P) is either unmarked (nominative) if non-human and/or lower than A on the person hierarchy (1>2>3), or DAT/ACC marked otherwise.",1052,2,1608,326,
,,,,,,1836,,
135,Dative Construction (Perfective Series),A.erg V-p/s-(a-t/p/s-r) R.dat T.nom,"In perfective tenses, A carries the ergative case, and T/P is unmarked (nominative). R carries the dative, as in the imperfective series. The verb agrees with the nominative T/P argument, and can take enclitics cross-referencing A, T, and R (in that order).",1052,2,1609,326,
,,,,,,1837,,
136,Indirective Construction with VP internal T,A R+e:lti T V.subj[A],A and T/P are unmarked. R is introduced by the postposition e:lti. The verb shows subject agreement (no object agreement). The construction is used when T is non-topical (rhematic/focussed).,1097,2,1610,327,
137,Indirective Construction with T Fronting,A T R+e:lti  V.obj[T].subj[A],"Here T is topical and dislocated from the verb. A and T remain unflagged. R is still introduced by the postposition e:lti. The verb, in addition to subject agreement, shows number agreement with the topical object. The shifted T here is a (secondary) topic (p. 76).",1097,2,1611,327,
138,Secundative construction,A R T-loc V.obj[R].subj[A],"A and R are unmarked, R being the main object. T takes the locative case -na. The verb shows obligatory object agreement with R, which is the secondary topic in this construction.",1097,2,1612,327,
,,,,,,6925647408,,
139,Basic Secundative Construction,A R T V.subj[A].obj[R],"A and R/P are unflagged; the verb cross-references A and R by subject and object enclitics respectively. Apart from canonical ditransitives, also 'rub/smear' verbs can take this pattern.",79,2,1613,328,
,,,,,,1841,,
140,Locative Indirective Construction,A R+pnë T V.subj[A].obj[T],"The verb cross-references A and T by subject and object enclitics respectively. R is introduced by the locative “referent” case enclitic -pnë.
Use: With less canonical ditransitives like 'bring', but also with verbs that have a source argument.",79,2,1614,328,
,,,,,,1842,,
141,Zero-Flagged Indirective Construction,A-nom T-acc obj[R].obj[T].subj[A].V R,"A/S is flagged by (overt) nominative case. T/P  is flagged by accusative case, R is unflagged (the zero “autonomous” case). A/S is cross-inderxed by subject prefixes or suffixes, T/P by object prefixes, and R by dative prefixes.",1133,2,1615,329,
,,,,,,1843,,
142,Direct Secundative construction,V.DIR-a(--r/p) A R obl.T,"The direct construction is used when A is higher on the animacy hierarchy than R/P. In this construction, A is the first core argument (ARG1), R is a second argument (ARG2), and T is an oblique. A and R are unmarked, T is introduced by an oblique case. A is indexed by a first order clitic (is zero in the 1st person),  R/P can be marked a second-order (external) clitic if pronominal.",1556,2,1616,330,
,,,,,,1844,,
143,Inverse Secundative Construction,V.INV-r/p(--a) R A obl.T,"The inverse construction is used when A is lower on the animacy  hierarchy than R/P.
In this construction, P/R is the first core argument (ARG1), A is a second argument (ARG2), and T is an oblique. As in the direct pattern, both A and R are unmarked and T is introduced by an oblique case. However, here both word order and indexing are reversed: P/R is indexed by a first order clitic, while by a second-order (external) clitic.",1556,2,1844,330,
,,,,,,1616,,
144,Secundative Prepostional Construction,A subj[A].V.obj[R] R ni+T,"The usual pattern with ditransitive verbs (unless T is human). A and R are unmarked, and T is introduced by a preposition (most often the oblique preposition (i)ni or locative lo). The verb agrees with R by means of object agreement suffixes.",159,2,1618,331,
,,,,,,1846,,
145,Indirective Prepositional Construction,A subj[A].V.obj[T] T (i)sa+R,"The indirect construction can only be used  when T is human. In this construction, T is in the object position and indexed on the verbs, while R is introduced by a preposition like (i)sa ‘with; to’.",159,2,1619,331,
,,,,,,1847,,
146,Dative Indirective Construction,T-abs A-erg V R-dat,"No indexing on the verb. T is in the absolutive (with nouns), A in the ergative (with nouns), and R is in the dative case. This construction is frequently part of a complex ““implicated NP construction” (see Other Constructions).",632,2,1620,332,
147,Genitive Indirective Construction,T-abs R-gen A-erg V,"No indexing on the verb. T is in the absolutive (with nouns), A in the ergative (with nouns), and R stands in simple genitive case, as a possessor in a possessive construction. This is the most common construction with canonical ditransitives.",632,2,1621,332,
148,Instrumental Secundative Construction,R-abs A-erg T-ins V,"No indexing on the verb. R is in the absolutive (with nouns), A in the ergative (with nouns), and T is in the instrumental case.",632,2,1622,332,
149,Ergative Secundative Construction,subj[A].V.obj[R] te+T na+R te+A,"R is the main object: R (like P in the ergative construction) carries nominative case. T is introduced by the CORE preposition te. Indexing is also secundative, insofar as object suffixes index R (prefixal agreement is neutral as it indexes A/S).",2293,2,1623,335,
,,,,,,1851,,
150,Antipassive Double Oblique Construction,subj[A].V te+T na+A te+R,"Flagging is neutral, as A in the “antipassive” construction is introduced by nominative case, both R and T are in CORE case (double object construction). Indexing is neutral, as subject agreement is used for A, and there is no object agreement. Donohue prefers to regard this construction as an “object focus” (pronominal voice) construction rather than antipassive.",2293,2,1624,335,
151,Indirective Oblique Construction,subj[A].V te+T na+A i+R,"Found with less canonical ditransitives. T is the main object, while R is introduced by the locative/oblique preposition i/di (has general LOC, ALL, ABL functions). A construction with  R  introduced with ako may also be regarded as a variant of this construction (since  the serial verb ako ‘do.for’ has been reanalyzed as benefactive preposition; p. 187). In principle, this construction can also appear in the ergative or antipassive variant.",2293,2,1625,335,
,,,,,,1853,,
152,Mixed Alignment Construction,[A(-loc) R-loc T subj[A].obj[R].V],"Indexing is secundative, but flagging is indirective. R takes the locative postposition -se’ (also optionally as an ergative marker). This construction can also be used with source arguments ('buy from').",889,2,1626,337,
,,,,,,1854,,
153,Dative Construction,A ka R eykey T lul V,"The basic construction: A is flagged by the nominative postposition ka/i (or the topic particle nun), T/P by the accusative lul, and R by the dative postpositions (different markers depending on animacy and politeness).",1166,2,1627,339,
,,,,,,1855,342,
154,Double Object Construction,A ka R lul T lul V,"Here the dative is replaced by the accusative “for emphatic (i.e. focus) purposes”. Double Object Constructions are not restricted to canonical ditransitives, but also occur with BEN, and other constructions which may be conceived as involving  possessor ascension (Sohn, p. 204, ex. 440a).
Acceptability of a Double Object Construction varies. O’Grady (p. 53; -> Kang) notes that in some ditransitive constructions (an example with a GIVE verb is given), the double object is preferred to the dative construction. Kozinsky & Polinsky (1993: 189), on the other hand, state that the double object construction is dispreferred by some speakers in general (an example with a SEND verb is given).",1166,2,1628,339,
,,,,,,1856,342,
,,,,,,7536,,
155,Mixed Constructions,A ka R eykey lul T lul V,"R is marked with what appears to be a combination of dative and accusative case. The latter marker, however, may be analyzed as a (homophonous) pragmatic marker (“focus delimiter”; p. 184) in this construction. R is focused here.",1166,2,1629,339,
156,Indirective Addressee Construction,A ka R tele/poko (T lul) V,"With speech act verbs, the addressee is introduced with poko or tele ‘to’. The object may be carry accusative if nominal, but is often a complement (quotative) clause.",1166,2,1630,339,
157,Ditransitive Construction,A R-obl T-obl V,Both R and T are followed by the oblique case suffix -à.,1103,2,1631,338,76-77
158,Indirective Locative Construction,subj[A].V A-erg ʔen+R (hn+)T,"R is introduced by the locative preposition ?en (ex. 13a), or by “deictic” locative indicating orientation towards the speaker (ex. 102). T (like P) is optionally introduced by the proclitic hn=, which, however, also appears on pronominal objects of prepositions (p. 264). 
Indexing is neutral insofar as only A is indexed on the verb.

Other comment:

hosting a possessive marker
p. 252. Only core arguments (or possessors of them), including IO (R; see (30)) can host a possessive enclitic  =hn 3POS. (With obliques, 3rd person POS is expressed by the free pronoun kEh.
p. 252; (30)",2012,2,1632,345,
,,,,,,1860,,
159,Neutral Benefactive Construction,subj[A].V A-erg R (hn+)T,"Unlike the locative construction, in the benefactive, BEN may be unmarked (alternatively introduced through an “associative” construction (cf. p. 215 (ex. 65); ‘weave my basket/basket for me’)).
In imperatives, R is unmarked like a BEN.",2012,2,1633,345,
,,,,,,1861,,
160,Dative Indirective Construction,A.erg R.dat T.abs t/p/s-V/AUX-d-a,"A canonical ditransitive construction which is ergative indirective. A is flagged by the ergative, R by the dative, and T (like P and S) by the absolutive case. T (again, like P and S) is cross-referenced by absolutive prefixes, R by dative suffixes, and A by ergative suffixes.",275,2,1634,349,
,,,,,,1862,352,
161,Benefactive Indirective Construction,A.erg R.gen-tzat T.abs t/p/s-V/AUX-a,"Differently from the dative construction, R/BEN is in the “benefactive” case -tzat, affixed to the genitive form of the noun. BEN is not indexed on the verb: The finite verb/auxiliary is monotransitive, not ditransitive.",275,2,1635,349,
,,,,,,7512,,
162,Dative Construction,A(-nom) R-dat T-acc V,"T/P is in the accusative, and R (or BEN or Addressee) is in the dative case. There is no indexing (agreement). It is a a basic ditransitive construction.",714,2,1636,350,
,,,,,,1864,,
163,Monotransitive (?) Accusative Construction,A(-nom) R-acc V,"With verbs like TELL, TEACH, ORDER, if T is omitted (“not mentioned”), R takes the accusative case.",714,2,1637,350,
164,Double Object Construction,A-erg R-abs T-abs V,"Both R and T carry the same case (absolutive or accusative, depending on the type of the nominal). There is no indexing on the verb. This construction is restricted to four verbs.",597,2,1638,353,
165,Dative Benefactive Construction,A-erg R-dat T-abs V,"T/P is in absolutive (or accusative, depending on the type of the nominal), and Ben is in the dative case. The verb may optionally take the benefactive marker
-yirpa-.",597,2,1639,353,
166,Dative Construction,A.erg V-a/s-(r/p)-(aux) T R.dat,"When the arguments are nominal, R is in the dative. T (like P) is in absolutive case. If pronominal, both R and T carry accusative (ex. 446h). (Note that in the same construction, NP is in dative while the coreferential resumptive pronoun is in accusative; see ex. 446b). The verb optionally agrees with R (see ex. 446k).",604,2,1640,354,
,,,,,,1868,,
167,Double Object Construction,A.erg V-a/s-r/p-(aux) T R,"Flagging as in the dative construction, but R is in absolutive case. This construction is restricted to core ditransitives and is not available for Beneficiaries (p. 108). A construction with both objects being pronominal may be also regarded as a double object construction, since both R and T are in accusative. If pronominal, both R and T are in accusative case (ex. 446h).",604,2,1641,354,
,,,,,,1869,,
168,Allative Construction,A.erg V-a/s-(t/p?)-(aux) T R,"With burdb- ’send’, R carries allative case, and T is unexpectedly in ergative case. SEND is used instead of GIVE if T is 1st/2nd person (see Animacy Effects). Indexing is apparently with T, if pronominal (no forms with pronominal Ts are given though).",604,2,1642,354,
169,Dative Ditransitive Construction,A T subj[A].V.obj[R] R-dat,"This is an indirective pattern in both cases (T like P unmarked, R in dative). R (rather than T) is indexed, but indexing is not secundative inasmuch as one uses special IO agreement with R.",928,2,1643,356,
,,,,,,1871,,
170,Dative Monotransitive Construction,A T subj[A].V.obj[T] R-dat,"Here also, flagging is indirective (T like P unmarked, R in dative). Indexing is also indirective, as object agreement indexes T.",928,2,1644,356,
171,T-R Double-Object Construction,A V T R,The T-R order is normal with ‘give’.,422,2,1645,8,106
,,,,,,1873,357,137
172,R-T Double-Object Construction,A V R T,"The R-T order is dispreferred with ‘give’, but is normal with other verbs such as ‘owe’, ‘borrow from’, ‘teach’.",422,2,1646,8,106
,,,,,,1874,,
173,Dative Construction,A V T bei+R,"This construction uses the preposition bei, which is often regarded as a serial verb.",422,2,1647,8,106
174,Indirective Construction,A (TOP) V T kē R,"In this construction, T follows the verb and R is introduced by the oblique (“transitive”) preposition kē. Canonical ditransitives (including à’ā GIVE1) allow for both the secundative and the indirective construction. Some other verbs (e.g. nē’ē GIVE2) only allow for the indirective construction, and need ‘a’-promotion (quasiapplicative) to form a secundative pattern",2447,2,1648,333,
,,,,,,1876,,
175,Secundative Construction,A (TOP) V R kē T,"In this construction, R follows the verb and T is introduced by the oblique (“transitive”) preposition kē. Canonical ditransitives allow for both the secundative and the indirective construction. Some other verbs (e.g. heal/treat) only allow for the secundative construction. Compare also example (18b) (with nē’ē - ‘give3’) with the derived quasiapplicative 
-a.",2447,2,1649,333,
,,,,,,1877,,
176,Possessive Monotransitive Construction,A (TOP) V R  T,"In this construction, R follows the verb and both R and T are  unmarked. It looks like a double object construction, but it is actually a possessive construction (ex. 1650 lit. ’refuses woman’s medicine’). Noted for REFUSE and STEAL and other verbs of dispossession.",2447,2,1650,333,
177,Benefactive Indirective Construction,A (TOP) V T à’ā R,In this construction T follows the verb and R is introduced with preposition à’ā (historically the verb GIVE).,2447,2,1651,333,
178,Double Object Construction,A V T R,Both R and T are unmarked (with full NP); the word order is variable.,673,2,1652,189,
,,,,,,1880,,
179,Indirective Prepositional Construction,A V T nú+R,In this construction R is introduced by the preposition nú. This construction normally expresses R with less canonical ditransitives; with canonical ones it expresses beneficiary (see Lefebvre 1994: 8; (ib) and (iia)).,673,2,1653,189,
,,,,,,1881,,
180,Serial Verb Construction,A sɔ́+T V R,"Here T is introduced by the verb sɔ́ ‘take’ and R by the verb ná ‘give’.
Semantically it is different from the Double Object Construction in that the addressee is not (necessarily) a (successful) recipient (i.e. the construction does not necessarily imply a successful transfer, as seen in example (24) in Lefebvre 1994: ‘Koko gave the crab to Asiba, but the crab is not hers’).",673,2,1654,189,
,,,,,,1882,,
181,Indirective Dative Construction,A-erg R-dat T(-abs) V.subj[A],"Flagging is indirective: A carries the ergative and R the dative. T is usually  unmarked (unless human; see Double dative construction under Animacy Effects). Indexing is neutral, as the verb agrees with the subject.",1657,2,1655,40,
182,Dative Construction,A-nom lә+R T(-acc) V.subj[A].(obj[R]),"A is unmarked and R is marked by the preposition lə (proclitic). T is marked by the accusative suffix -n if definite. The verb optionally agrees with R by means of object agreement suffixes. However, if R is 1st or 2nd person, pronoun agreement is obligatory.",105,2,1656,359,
,,,,,,1884,,
183,Double Object Construction,A-nom R-acc T V.subj[A].obj[R],Here R is in accusative case and  T is unmarked (Amberber 2002: 48 mentions avoidance of double ACC marking). Interestingly object agreement is obligatory in this construction (in the Dative Construction it may be optional).,105,2,1657,360,
,,,,,,,359,
184,Secundative Ditransitive Construction,subj[A].V.obj[R] T R A,"Flagging is neutral: A, P, R, and T (sometimes also obliques) are unmarked. The (primary) object agreement (P/R) only occurs with R arguments. (T-agreement is possible only in the absence of R; see Indirective R-less construction.)",1755,2,1658,165,
,,,,,,1886,362,
,,,,,,,781,
185,Secundative R-less Construction,subj[A].V.obj[T] T A,"In this (“pseudo-transitive” in terms of Bloomfield) construction, arguments are also unflagged, but the verb takes a separate secondary object agreement series for T marking. R is unexpressed in this construction (omitted, incorporated or reflexivized).",1755,2,1659,165,
,,,,,,1887,362,
186,Secundative Applicative Construction,V-APPL-TR-r/p-(a) R  ?ə T,"The verb contains the applicative (recipient applicative) marker. The primary object R is unmarked (like P and A), while T is introduced by the oblique preposition ?ə. R (like P) is indexed by object agreement suffixes. T is unmarked, the same holds for A except for 3rd person As, which are indexed by the ergative suffix.",815,2,1660,366,
,,,,,,1888,462,
187,Double Object Basic Construction,A subj[A].obj[R].V R T,"Basic ditransitives form a double object construction, where R is marked by the object agreement suffix. Note however that if T is topical, it can also be indexed (see (31a)).",2552,2,1661,367,
,,,,,,1889,,
188,Double Object Applicative Construction,A a/s-(r/p/t)-V-appl R T,"This is also a double object construction, but here object agreement with BEN seems more regular.",2552,2,1662,367,
,,,,,,1890,,
189,Dative construction,[A R-dat T V.subj[A]] –,A/S are unmarked. R is in the dative and T is normally unmarked. The (suffixal) agreement is only with the subject (A/S). Thus differential object marking is suspended in ditransitives (except for pronominal Ts; see animacy effects).,1776,2,1663,368,
190,Monotransitive Prepositional Indirective,V.subj[A] A T ñí’con+R,"This is a monotransitive construction where T is the main object and R is a prepositional object. Prepositional BEN marker ñícon ‘for’ is also used for both ‘to’ and ‘from’. T is unmarked. As in other cases only the subject is indexed on the verb. Note however, that the verb form changes depending on animate/inanimate T. 
The monotransitive construction unlike the ditransitive one indicates temporary rather than permanent transfer.",483,2,1664,369,
,,,,,,1892,5379340125,
191,Ditransitive Inanimate Construction (with inanimate T),V.subj[A] A R T,"In this construction with inanimate T, both T and R are unmarked; neither is indexed (indexing of subject A argument). The form of the verb however is distinct for animate and inanimate themes (an indirective feature). Yet the choice of the direct here vs. inverse forms is sensitive to hierarchy relation (1/2 > 3 > 3/obv) between A and R arguments (a secundative feature).
The ditransitive construction (unlike the monotransitive one) indicates permanent transfer.",483,2,1665,369,
,,,,,,,5379340125,
192,Ditransitive Animate Construction (with animate T),V.subj[A] A R T,"In this construction both T and R are unmarked; neither is indexed (indexing of subject A argument). The form of the verb however is distinct for animate and inanimate themes (an indirective feature). The verb form is also sensitive to the hierarchy relation between A and T arguments (1/2 > 3 > 3/obv), conditioning the use of direct vs. inverse forms (another indirective feature).
The ditransitive construction (unlike the monotransitive one) indicates permanent transfer.",483,2,1666,369,
,,,,,,1894,5379340125,
193,Double Object Construction,A V T R,"The arguments are unmarked (no case). There is no indexing either (but see indexing comments). The order is either AVTR, or less usually AVRT. In this construction T is indefinite.",661,2,1667,370,
,,,,,,1895,,
194,Serial Verb Construction,A V T V R,The T argument is introduced by the serial verb tsɔ́ TAKE. In this construction T is definite and R is indefinite. The serial verb construction is generally used to avoid the definite-T constraint (see animacy and person).,661,2,1668,370,
,,,,,,1896,,
195,Dative Construction,A-nom R-dat T-acc V.subj[A],"Dative recipient construction, with differential P/T marking dependent of definiteness/specificity.",1071,2,1669,385,
196,Dative Construction,A ga/wa R ni T o V,"The dative accusative construction, with the R marked by the dative postposition ni, and T/P marked by the accusative postposition o. (A is marked by the topic marker wa or the (new) subject marker ga). There is no indexing on the verb (except for subject honorifics).",947,2,1670,297,
,,,,,,1898,216,
197,Double Object Construction,A subj[A].obj[R].V R T,"A double object construction (with A, T, and R unmarked). The indexing is secundative: object prefixes index the R.",2115,2,1671,389,
,,,,,,7544,,
198,Dative Prepositional Construction,A T V R+á,"A and T/P arguments are unmarked, R is introduced by the postposition á. R is postverbal as other oblique (prepositional) objects. No indexing on the verb. This is the basic ditransitive construction.",2110,2,1672,390,
,,,,,,1900,,
199,Serial Verb Construction:  Shifted Pattern,(A P V1) CONN  R V,Serial verb construction involving kan GIVE also has a prepositional and shifted versions (like the main verbs kan). The verbs in an SVC are related by a connective marker.,2110,2,1673,390,
200,Dative Shifted Construction,A R V T+na,In this construction R is shifted into the preverbal object position; the T is marked by the preposition na ‘at’. Only kan GIVE (and ASK/beg) permit a dative shift. Dative shifted are rare (3%) of cases (p. 400),2110,2,1674,390,
,,,,,,1902,,
201,Serial Verb Construction:  Indirective Pattern,(A P V1) CONN T  V R á,Serial verb construction involving kan GIVE also has a prepositional and shifted versions (like the main verbs kan). The verbs in an SVC are related by a connective marker.,2110,2,1675,390,
202,Dative Construction (non-perfective tenses),A R+nüü T V.subj[A],"In the dative construction, R is followed by the postposition nüü and  T is unmarked  (even though Ps show DOM). Indexing is neutral insofar as the Verb shows gender agreement with the subject. Note that in non-perfective tenses the alignment is accusative (the subject lacks ergative marker and controls verbal agreement).",1817,2,,391,173
203,Dative Construction (non-perfect series),A.erg R.dat T  (a/s-)r/p-V-(a/s),"In this construction, flagging is indirective: R takes the dative case, while T (like P) is unmarked (flagging of pronouns is neutral though, as 1,2 p. pronouns don’t distinguish between ergative, absolutive and dative cases). Indexing is secundative insofar as the object agreement prefixes, index R not T (except for cases when T is higher than R on the person/animacy hierarchy, or is equal to R see Animacy Effects).",1264,2,1677,393,
,,,,,,1905,,
204,Double Object Construction,[A-erg R-abs T-abs V.subj[A]] –,"In the double object constructions with nominal arguments, A  is in the ergative, and both R and T are in the (unmarked) absolutive case. There is no indexing on the verb except for the plural subject marker (with 3rd person human/animate subjects).",431,2,1906,397,
,,,,,,204,,
,,,,,,453,,
,,,,,,1678,,
,,,,,,2362,,
,,,,,,2590,,
,,,,,,3274,,
,,,,,,3502,,
,,,,,,4186,,
,,,,,,6301,,
205,Benefactive Construction (non-perfect series),A.erg R-šen(i) T  (a/s-)r/p-V-(a/s),"This construction is used for beneficiaries with less canonical ditransitives. The beneficary is introduced by the postposition/enclitic -šen(i) , T is unmarked. Like flagging , indexing is indirective. Kutscher (2001) regards this construction as monotransitive rather than ditransitive. A more frequent way to encodwe a beneficiary is a ditransitive construction with the benefactive “version” prefix u-/i- (see derived ditransitives under the dative construction)",1264,2,1679,393,
,,,,,,1907,,
206,Allative Construction (perfect series),A-dat R-all T subj[A].V.obj[T],This is an inverse construction with the experiencer subject in the dative case which controls object prefixees on the verb. Formally T behaves like a subject (riggers subject suffixes on the verb). In this construction R is coded by Allative case (”demoted to allative”; Lacroix) apparently to prevent doubling of dative case (on subject and object). This construction is found in the perfect series and in  the potential derivation. The construction is indirective (if we compare it to the construction in the same series).,1264,2,1680,393,
,,,,,,1908,,
207,Basic Ditransitive Construction,A subj[A].V R T,"The only basic ditransitive verb is mo:y? GIVE, all the other are derived (by the applicative). The alignment pattern of this verb is neutral in terms of coding: there is no flagging of core arguments, nor agreement with any of the object in the direct construction. yet the construction shows secundative properties, in particular the verb agrees with the R in the inverse.",1763,2,1681,398,
,,,,,,1909,,
209,Applicative Ditransitive Construction,A subj[A].V R T,"Except for the GIVE verb, the construction with the Recipient-Beneficiary (also addressee, malefactive, external possessor) must be marked with the applicative suffix –ja:y?. Like the basic ditransitive construction this construction is neutral in coding in the direct construction (in the inverse indexing is secundative). 

Special phenomena:

(1) Inversion
In the inverse construction, P is cross-referenced by the absolutive proclitics on the verb (both A and P remain unflagged). Inverse is used when P outranks A in saliency (person/nimacy/topicality); p188-9.

c)	in the applicative construction,  R undergoes inversion; p. 688 (33a)

(2) Verbal number marking
The suffix -küx signals plurality of the plural 3rd person A, but may also refer to plurality of P. 
fn the applicative construction, -küx can signal plurality of either T (695; (43b)) or R (43c).",1763,2,1683,398,
,,,,,,1911,,
210,Dative Construction (perfective tenses),A=ne R=nüü T V-t/p/s,"In the dative construction, R is followed by the postposition nüü (Beneficiaries can alternatively be expressed by a complex postposition including a combination of the genitive postposition with laii ‘for’.)  T is unmarked though (even though Ps show DOM). Indexing is also indirective insofar as the suffixal (gender) agreement indexes the objecvt (T/P). Note that in the perfective tenses the construction is ergative both in terms of flagging (ergative postposition) and indexing (gender agreement with the S/P/T arguments)..",1817,2,1684,391,173
,,,,,,1912,,
211,Secundative Prepositional Construction,A V R ní+T,"This is the basic ditransitive construction (with a non-pronominal T), where R is unmarked and T is marked by the general locative preposition Ní.",2502,2,1685,402,
,,,,,,1913,,
212,Secundative Serial Verb Construction,A fi  T V R,In this construction T is introduced by the auxiliary verb fi ‘take/use’ which is not used as a main verb. This construction must be used instead of the prepositional construction when T is pronominal. It can be used along with the secundative prepositional construction when T is definite.,2502,2,1686,402,
,,,,,,1914,,
213,Allative Indirective Construction,A V T sí +R,"With less canonical ditransitives with a directional meaning; T is unmarked, R is introduced by the preposition sí .",2502,2,1687,402,
,,,,,,1915,,
214,Benefactive Construction,A V T fún+R,In this construction beneficiary is introduced by the preposition (or a serial verb) fún  GIVE.,2502,2,1688,402,
,,,,,,1916,,
215,Secundative Double Object Construction,A subj[A].V.obj[R] R T,"In the double object construction, R is indexed on the verb , T is not.",1253,2,1689,403,
,,,,,,1917,,
,,,,,,2373,,
216,Indirective Prepositional Construction,A subj[A].V.(obj[T]) T bòt+R,In the indirective construction R is introduced by the preposition bòt ‘to’; T is indexed on the verb. Indirective construction is chosen when T is given/definite/topical (p. 150).,1253,2,1690,403,
,,,,,,1918,,
217,Double Object “Shifted” Construction,A R T (V).obj[R].obj[T].subj[A],"This construction is found only with the verb GIVE. It is exceptional in that the verb lacks the stem, only agreement (and tense) markers are present.  It is also exceptional in that R is indexed in the first postverbal agreement slot normally reserved for P-agreement. (In other patterns the order of R and T indices is the opposite). As in other constructions flagging is neutral.",103,2,1691,85,
,,,,,,1919,,
218,Double Object “Unshifted” Construction,A R T V.obj[T].obj[R].subj[A],"This construction is found with a few ditransitive verbs like SHOW and TEACH. As in other constructions objects are unmarked. T (when expressed) occurs in the first object agreement slot, R in the second slot. The order of object agreement suffixes is indirective, although no applicative marker is present. The same construction is also possible with benefactive verbs: beneficiary is encoded in the second slot. (Usually however, benefactives are expressed in the applicative construction).",103,2,1692,85,
,,,,,,1920,,
219,Indirective Applicative Construction,A R T V-t/p-APPL-r-a/s,"This is the most productive constrruction wuith ditransitive verbs. As in other constructions flagging is neutral. Indexing is indirective insofar as T is cross-referenced in the first (object) agreement slot, and R is introduced by the applicative -i- marker followed by another object agreement marker. The same construction is normally used to introduce benefactives.",103,2,1693,85,
,,,,,,1921,,
220,Double Object Construction (Non-Past Series),A(dir) T.dir/obl (t/p=) V-a/s R .obl,"In the non-past series, A/S is in the direct (nominative) case: both R and T are in the oblique case. T must be oblique if definite, otherwise it is unmarked (direct case). Thus there is a kind of differential marking of P/T arguments. In the non-past tenses, subjects are indexed by verb suffixes, T/P (if omitted and animate/definite?) can be indexed by oblique (set-II) clitics (procliticized to the verb).",2359,2,1694,404,
,,,,,,1922,,
221,Adpositional R Construction (Non-Past Series),A(dir) o+R.obl T.dir/obl (t/p=) V-a/s,"This construction is indirective in flagging. R is introduced by an allative preposition o (with GIVE), a allative-locative preposition dæ with SAY/TELL and with benefactive postposition =ra with Beneficiaries. As in the double object construction, object show differential case marking depending on definiteness of T/P arguments. As in the other construction in the non-past series, A/S is unmarked and indexed by suffixes. In the non-past tenses, subjects are indexed by verb suffixes, T/P (if omitted and animate/definite?) can be indexed by oblique (set-II) clitics (procliticized to the verb)",2359,2,1695,404,
,,,,,,1923,,
222,R-Indexing Construction (Non-Past Series),A(dir) T.dir/obl=r (t/p=)V-a/s,"In this construction, used when R is pronominal, R (like P) is indexed by an oblique pronominal clitic. However, R (unlike P which can be marked by a proclitic on the verb), is indexed by an oblique enclitic on the T argument. In this construction as in the other constructions in the non-past series, A/S is unmarked and indexed by suffixes. R-indexing construction is apparently restricted to non-past tenses. A further restriction concerns the fact that T must be indefinite (constructions with definite Ts must use a flagging construction with free pronouns marked as oblique).",2359,2,1696,404,
,,,,,,1924,,
223,Double Object Construction (Past Series),A.obl T.dir/obl a=V-t/p R.obl,"In the past series, A/S is in the oblique (ergative) case, T can be either direct or oblique (depending on definiteness?), while R is invariably in the oblique. T (like P) can be indexed by verbal  suffixes (if unmarked?). A is indexed by oblique clitics (which either procliticize to the verb, or encliticize to a preceding element).",2359,2,1697,404,
,,,,,,1925,,
224,Adpositional R construction (past series),A.obl o+R.obl  T.dir/obl a=V-t/p,"As in the double object construction in the past series, A/S is in the oblique (ergative) case, T can be either direct or oblique depending on definiteness. T (like P) can be indexed by verbal suffixes (if unmarked?). R is introduced by an allative preposition (with 'give'), a locative preposition with 'tell' and with benefactive postposition with Beneficiaries. A is indexed by oblique clitics (which either procliticize to the verb, or encliticize to a preceding element).",2359,2,1698,404,
,,,,,,1926,,
225,Indirective Indexing Construction,[A R T obj[T].obj[R].subj[A].V] –,"This construction is neutral in flagging as the core arguments are unflagged. It is indirective in indexing as T (like P but also S) is indexed by the absolutive prefixes, while R is indexed by the oblique/dative agreement prefixes (also used for obliques, as well as nominal possessors). A is indexed by still another set of prefixes in the pre-root slot. – A variant of this construction (found with some other verbs) is the one where indirective agreement is introduced (followed) by applicative-like preverbs/relational particles; see the second example with 'tell' that uses the relational particle -a (see also benefactive construction under Derived ditransitives).",34,2,1699,406,
,,,,,,1927,,
226,Indirective Postpositional Construction,T a+t-V A R=wya,"Both A and T/P are unmarked for case; R is introduced by the postposition =wya ‘to, by’. Indexing is also indirective: object suffixes index T (subject prefixes index A).",844,2,1700,407,
