Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
37,5.2,65,suffixal case,,,,
38,5.2,65,suffixal case,,,,
40,5.2,65,suffixal case,,,,
41,5.2,66,no flagging,,,,
42,5.2,66,no flagging,,,,
43,5.2,66,no flagging,,,,
44,5.2,66,no flagging,,,,
45,5.2,,,?pay ‘go’,,,
46,5.2,66,no flagging,,,,
47,5.2,66,no flagging,,,,
48,5.2,66,no flagging,,,,
49,5.2,66,no flagging,,,,
50,5.2,65,suffixal case,,1752,272,
51,5.2,65,suffixal case,,,,
54,5.2,65,suffixal case,dative,,,
55,5.2,66,no flagging,Nominative; variant -Ø after some vowels.,,,
56,5.2,65,suffixal case,Nominative; variant -Ø after some vowels.,,,
57,5.2,66,no flagging,,,,
58,5.2,66,no flagging,,,,
59,5.2,65,suffixal case,markers of O by modal oblique cases which distinguish TAM categories,,,
60,5.2,65,suffixal case,,,,
61,5.2,65,suffixal case,O markers by modal oblique cases which distinguish TAM categories,,,
62,5.2,65,suffixal case,,,,
63,5.2,65,suffixal case,Verbal donative like other verbal cases take verbal rather than nominal inflection,,,
64,5.2,65,suffixal case,,,,
65,5.2,69,preposition,,,,
66,5.2,66,no flagging,,,,
67,5.2,65,suffixal case,,,,
68,5.2,65,suffixal case,,,,
69,5.2,65,suffixal case,indefinite accusative suffix,,,
70,5.2,65,suffixal case,,,,
71,5.2,65,suffixal case,,,,
72,5.2,65,suffixal case,,,,
73,5.2,70,optional suffixal case,,,,
74,5.2,70,optional suffixal case,,,,
75,5.2,70,optional suffixal case,,,,
76,5.2,66,no flagging,,,,
77,5.2,66,no flagging,,,,
78,5.2,65,suffixal case,Accusative case,1552,,
79,5.2,65,suffixal case,accusative case,,,
80,5.2,65,suffixal case,accusative case,,,
81,5.2,66,no flagging,absolutive case,,,
82,5.2,66,no flagging,,,,
83,5.2,66,no flagging,,,,
84,5.2,66,no flagging,,,,
85,5.2,66,no flagging,,,,
86,5.2,66,no flagging,,,,
87,5.2,66,no flagging,,,,
88,5.2,66,no flagging,,,,
89,5.2,66,no flagging,,,,
90,5.2,66,no flagging,,,,
91,5.2,66,no flagging,,,,
92,5.2,66,no flagging,,,,
93,5.2,66,no flagging,,,,
95,5.2,75,prefixal case,Prefixal Object Case is ka= in SG (in PL not distinguished from NOM).,,270,
96,5.2,75,prefixal case,,,,
98,5.2,66,no flagging,,,,
99,5.2,66,no flagging,,,,
100,5.2,66,no flagging,,,,
101,5.2,66,no flagging,,,,
102,5.2,66,no flagging,,,,
103,5.2,66,no flagging,"Is introduced by articles if definite, as usual with all core NPs.
If pronominal by “absolutive” (yo’-series) pronouns.",,,
104,5.2,69,preposition,"If T is definite, it is marked by OBL articles: ni (common) ~ as (proper)).",1806,280,
105,5.2,66,no flagging,,,,
106,5.2,66,no flagging,,,,
107,5.2,66,no flagging,,,283,
108,5.2,66,no flagging,,1582,,
109,5.2,66,no flagging,,1811,283,
110,5.2,66,no flagging,"Personal proper names and some other high-animacy noun phrases require the preposition lil or ‘l; see Borg and Azzopardi-Alexander, p.137",,102,137
111,5.2,66,no flagging,,,,
112,5.2,66,no flagging,,,,
113,5.2,65,suffixal case,OBJ case. Note that with many inanimates OBJ is zero (DOM).,,,
114,5.2,65,suffixal case,,,,
115,5.2,66,no flagging,,,,
118,5.2,66,no flagging,,,,
119,5.2,67,postposition,general locative postposition,,,
120,5.2,67,postposition,Instrumental/comitative postposition.,,,
121,5.2,66,no flagging,,,,
122,5.2,66,no flagging,,,,
123,5.2,67,postposition,Normally on animate Os(Ps and Ts),,,
124,5.2,66,no flagging,,,,
125,5.2,67,postposition,,,,
126,5.2,66,no flagging,,,,
127,5.2,66,no flagging,,,,
128,5.2,69,preposition,"T is introduced by an object (oblique) form of the article (regarded as a preposition here), unless both A and R are 1st/2nd person.",,,
129,5.2,69,preposition,"prepositional article, here treated as a preposition",,,
130,5.2,66,no flagging,,,,
132,5.2,65,suffixal case,,,,
133,5.2,66,no flagging,,,,
134,5.2,70,optional suffixal case,T (as P) can be marked by DAT case if it is animate and higher than A on the animacy hierarchy.,,326,
135,5.2,66,no flagging,,,,
136,5.2,66,no flagging,,,,
137,5.2,66,no flagging,,,,
138,5.2,65,suffixal case,Locative case.,,,
139,5.2,66,no flagging,,,,
140,5.2,66,no flagging,,,,
141,5.2,77,enclitic case,T like P is marked by the ACC in –n (which under certain conditions maybe unmarked) or takes the object focus form --on (see monotransitive alignment),,329,
142,5.2,69,preposition,An oblique case marker prefixed to articles and pronouns.,,330,
143,5.2,69,preposition,An oblique case marker prefixed to articles and pronouns.,,330,
144,5.2,69,preposition,"By the oblique preposition hini-~ini-~n-, or the locative preposition lo. The preposition hini  is noun-like in that it takes possessive agreement suffixes to agree with the head.",,331,
145,5.2,66,no flagging,,,,
146,5.2,66,no flagging,"No marking of absolutive NPs with nouns; (1,2) pronouns (and also proper nouns) take the accusative marker in -–na/-Na.",,332,
147,5.2,66,no flagging,"No marking of absolutive NPs with nouns; (1,2) pronouns (and also proper nouns) take the accusative marker in -–na/-Na.",,332,
148,5.2,65,suffixal case,T marked with the Instrumental (which is identical to ERG but syntactically distinct).,,332,
149,5.2,69,preposition,"T is introduced by the “non-nominative core article/preposition” te, which is also used for A of a transitive construction.",,335,
150,5.2,69,preposition,T is introduced by the “non-nominative core article/preposition” te.,,335,
151,5.2,69,preposition,T is introduced by the “non-nominative core article/preposition” te.,,335,
152,5.2,66,no flagging,,,,
153,5.2,67,postposition,The ACC postposition with a focal value.,,,
154,5.2,67,postposition,The ACC postposition with a focal value.,,,
155,5.2,67,postposition,The ACC postposition with a focal value.,,,
156,5.2,,,"T is followed by the ACC postposition if nominal ((p. 1238; (21b)), or represented by a quotative verb form if sentential.",,,
157,5.2,65,suffixal case,This flag is called “subordinate suffix” by Hagman (1977:56).,,338,56
158,5.2,69,preposition,T like P with an optional accusative proclitic.,,,
159,5.2,75,prefixal case,T like P with an optional accusative proclitic.,,,
160,5.2,70,optional suffixal case,"Absolutive is normally unmarked unless expressed cumulatively with number/definiteness: -a def/sg, -ak def/pl.",,,
161,5.2,70,optional suffixal case,,,,
162,5.2,70,optional suffixal case,Accusative case; may be missing on T/Ps which are indefinite and in a preverbal position (see p. 188 for DOM in a ditransitive constructions).,,,
163,5.2,,,T not expressed/omitted.,,,
164,5.2,70,optional suffixal case,,,353,
165,5.2,70,optional suffixal case,Like P takes the accusative case (-Na) for non-sg common nouns (and female common nouns) or the unmarked absolutive  (for other common nouns),,,
166,5.2,66,no flagging,No case markers (absolutive zero case) on nominal Ts; or accusative case on pronominal Ts.,,,
167,5.2,66,no flagging,No case markers (absolutive zero case) on nominal Ts; or accusative case on pronominal Ts.,,,
168,5.2,65,suffixal case,"T unexpectedly marked by the  ergative case in -rni. 
Not clear what would be the case if pronominal (ERG?, ACC?).",,,
169,5.2,66,no flagging,,1643,356,
170,5.2,66,no flagging,,,356,
171,5.2,66,no flagging,,,,
172,5.2,66,no flagging,,,,
173,5.2,66,no flagging,,,,
174,5.2,66,no flagging,,,,
175,5.2,69,preposition,,,,
176,5.2,66,no flagging,,,,
177,5.2,66,no flagging,,,,
178,5.2,66,no flagging,,,,
179,5.2,66,no flagging,no flagging (except for some pronouns),,,
180,5.2,80,serial verb,Here T is introduced by the verb só ‘take’.,,189,
181,5.2,66,no flagging,,,,
182,5.2,70,optional suffixal case,Accusative marker with definite Ts.,,,
183,5.2,66,no flagging,,,,
184,5.2,66,no flagging,,,,
185,5.2,66,no flagging,,,,
186,5.2,69,preposition,T is introduced by the “oblique case” (preposition).,,,
187,5.2,66,no flagging,,,,
188,5.2,66,no flagging,,,,
189,5.2,70,optional suffixal case,The dative-accusative case obligatory on animate/definite Ps.,,,
190,5.2,66,no flagging,,,,
191,5.2,66,no flagging,,,,
192,5.2,66,no flagging,,,,
193,5.2,66,no flagging,,,,
194,5.2,66,no flagging,No real case-marking but the T argument is introduced by serial verb tsɔ́  TAKE,,,
195,5.2,66,no flagging,,,,
196,5.2,67,postposition,The accusative postposition o.,,,
197,5.2,66,no flagging,,,,
198,5.2,66,no flagging,,,,
199,5.2,66,no flagging,"Apparently,T of the second clause not expressed, as it is  coreferential to the object of the first clause.",,,
200,5.2,67,postposition,The locative postposition.,,,
201,5.2,66,no flagging,"Apparently,T of the second clause not expressed, as it is coreferential to the object of the first clause.",,,
202,5.2,66,no flagging,,,,
203,5.2,66,no flagging,,,,
204,5.2,66,no flagging,,,,
205,5.2,66,no flagging,,,,
206,5.2,66,no flagging,,,,
207,5.2,66,no flagging,,,,
209,5.2,66,no flagging,,,,
210,5.2,66,no flagging,,,,
211,5.2,69,preposition,ní is a semantically general preposition.,,,
212,5.2,80,serial verb,,,,
215,5.2,66,no flagging,,,,
216,5.2,66,no flagging,,,,
217,5.2,66,no flagging,,,,
218,5.2,66,no flagging,,,,
219,5.2,66,no flagging,,,,
220,5.2,70,optional suffixal case,T may be either direct (with non-prominent T/Ps) or oblique (with prominent (T/Ps).,,,
221,5.2,70,optional suffixal case,T may be either direct (with non-prominent T/Ps) or oblique (with prominent (T/Ps).,,,
222,5.2,70,optional suffixal case,T may be either direct (with non-prominent T/Ps) or oblique (with prominent (T/Ps).,,,
223,5.2,70,optional suffixal case,T may be either direct (with non-prominent T/Ps) or oblique (with prominent (T/Ps).,,,
224,5.2,70,optional suffixal case,T may be either direct (with non-prominent T/Ps) or oblique (with prominent (T/Ps).,,,
225,5.2,66,no flagging,,,,
226,5.2,66,no flagging,,,,
227,5.2,66,no flagging,,,,
228,5.2,66,no flagging,,1930,409,
2,6.1,81,proclitics,"For 3rd person plural, there is no index. (1) R index precedes T index in combinations (me lo da 'gives it to me’); (2) In combinations of R and T indexes, T may not be 1st/2nd person (*gli mi mostra 'shows me to him’).",,,
3,6.1,84,no indexing,,,,
4,6.1,84,no indexing,,,,
5,6.1,84,no indexing,Neutral (agreement with subject only),,,
6,6.1,83,suffixes,R is indexed by a possessive suffix on O following the DEST case,,,
7,6.1,83,suffixes,,,,
8,6.1,84,no indexing,Indirective,,,
9,6.1,83,suffixes,Secundative,1483,,
10,6.1,84,no indexing,indirective/neutral?,,,
11,6.1,83,suffixes,"directional suffixes, indirectively aligned",1485,,
12,6.1,84,no indexing,,,,
13,6.1,295,possessive indexes,,,,
14,6.1,84,no indexing,No indexing,,261,
15,6.1,83,suffixes,"V agrees with P of transitives (no DOM in agreement), and with R of ditransitives => secundative.

In certain types of RCs the nominalized verb can agree with both R and T (and A); see Relativization.",,235,
16,6.1,84,no indexing,,,,
17,6.1,83,suffixes,"Indexing is secundative only when BEN derivation applies:
BEN << -ya- GIVE grammaticalization",,235,249
18,6.1,84,no indexing,,,,
19,6.1,84,no indexing,"Neutral 
NB no AGR for objects",,259,
21,6.1,84,no indexing,,,,
22,6.1,84,no indexing,,,,
23,6.1,84,no indexing,"Neutral: agreement only with subject
But (p. 138-9) Persian has pronominal clitics which cross-reference DO; (p.139/ex. 15): Naser=ACC help=her=did=I 
also T?",,,
24,6.1,93,enclitics,This is the same enclitic which appears in a possessive function on nouns and as object enclitics on verbs. But here it is rather an object clitic on the T argument of a compound verb ('I poison-gave-him').,,,
25,6.1,84,no indexing,,,,
26,6.1,84,no indexing,,,,
27,6.1,88,prefixes,"AGRo prefixes are actually AGRabs, as they cross-reference P and S.",,,
28,6.1,93,enclitics,"Dative agreement enclitics on verbs seem also also to be optional in the presence of dative (see (6-22, p. 265)",,262,265
29,6.1,88,prefixes,Prefixes are optional.,,,
30,6.1,88,prefixes,,,,
31,6.1,84,no indexing,,,,
32,6.1,84,no indexing,,,,
33,6.1,88,prefixes,"Generally, agreement is possible only with the subject, hence indexing is neutral. Note that if the object (P+T) appears in a predicative-case form, the verb takes a special O-focus form (agreement is with the subject though). Appearance of the O-focus form is dependent on predicative case, hence is indirective.",,263,89-92
34,6.1,84,no indexing,Neutral; but see indexing comments under the dative construction.,,,
35,6.1,84,no indexing,,,,
36,6.1,84,no indexing,,,,
37,6.1,84,no indexing,Only A is indexed in the verb.,,236,66
38,6.1,81,proclitics,"Indexing by proclitic pronouns is optional:
(Tis) (ta) éstile o Pétros tis Marías ta xrímata. (Petros sent Maria the money.)",,,
40,6.1,81,proclitics,"Clitic doubling is optional: 
(Tus) dhídhakse tus fitités ta mathimatiká
‘He taught the students the maths.’",,,
41,6.1,93,enclitics,,,,
42,6.1,84,no indexing,,,,
43,6.1,84,no indexing,,,,
44,6.1,84,no indexing,,,,
45,6.1,84,no indexing,,,,
46,6.1,84,no indexing,,,,
47,6.1,84,no indexing,,,,
48,6.1,93,enclitics,"Both T and R can be indexed, but not at the same time: only one R-or-T index is possible. (However, it remains unclear how to say ‘I will give it to you’)",,,
49,6.1,88,prefixes,"The object prefix cluster occurs between the tense marker and the stem (179); the T prefix precedes the R prefix (182). Indexing and noun phrase are usually in complementary distribution for non-subjects, but indexing is obligatory under topicalization.",,,
50,6.1,84,no indexing,"Indexing only definite objects. 
DOM; except for pronouns (1st, 2nd)",,272,322
51,6.1,84,no indexing,Indexing of pronominal objects may co-occur with objects (T) in OBJ case.,,,
54,6.1,88,prefixes,"Object Prefix, often zero in third person. Object prefix indexes (a) P and R in Present and Aorist Series; (b) A in Perfect Series.
T.Wier (p.c.): AGR-B has a special subparadigm for dative indirect objects (which do not change to NOM in the aorist series): these differ from the regular AGRo agreement in the 3rd person: regular Ps (and Ts of ditransitives) will take a zero in the 3rd person, but Rs take an -x-/s- marker. Yet, for vowel initial stems (e.g. including -a- as with GIVE also with a causativizing PRV a- the 3rd person is regularly a zero).",,,
55,6.1,88,prefixes,"Object prefix, often zero in third person. Object prefix indexes (i) P and R in Present and Aorist Series; (ii) A in Perfect Series.",,,
56,6.1,84,no indexing,Subject suffixes index (a) A and S in Present and Aorist Series; (b) P and S in Perfect Series.,,,
57,6.1,83,suffixes,"""object agreement"", see (122) for the list of object agreement suffixes",,,
58,6.1,84,no indexing,,,,
59,6.1,84,no indexing,,,,
60,6.1,84,no indexing,,,,
61,6.1,84,no indexing,,,,
62,6.1,84,no indexing,,,,
63,6.1,84,no indexing,,,,
64,6.1,84,no indexing,,,,
65,6.1,96,agreement,,,,
66,6.1,96,agreement,,,,
67,6.1,84,no indexing,,,,
68,6.1,84,no indexing,,,,
69,6.1,84,no indexing,,,,
70,6.1,97,unclear,Indexing is possible only for 1SG objects (p. 103); apparently also for  1st person T (not clear if also for 1sg R).,,241,103
71,6.1,84,no indexing,,,,
72,6.1,83,suffixes,In a double object construction only the (1sg) causee (a role similar to R) can be cross-referenced by object agreement; see ex. 554.,,241,
73,6.1,84,no indexing,,,,
74,6.1,84,no indexing,,,,
75,6.1,84,no indexing,,,,
76,6.1,93,enclitics,"Only human Goals are cross-referenced by indirect object agreement; inainimate Goals are not; see p. 227 ex. (258b)/7014 below.
(send=this to=Ambon)",7014,229,227
77,6.1,84,no indexing,,,,
79,6.1,84,no indexing,"In the 3rd person object proclitics to the verb; cf. á’a= 3rd erson sg object enclitic. 
Rude 1996: Proclitic object agreement can be either with the R (51) or with the T (57). 
ex. (51)‘They gave it to them’; ex. (57) ‘They gave them to the woman’",,212,
80,6.1,103,proclitics and/or enclitics,"In the 3rd person dative object proclitics to the verb á’-u=, which is distinct from object proclitic and includes a dative-locative marker. Object enclitics procliticize to the verb in the 3rd person; in other persons they are (second position) enclitics. There is a distinction between object and dative enclitics; the latter include the dative-locative marker.",,,
82,6.1,84,no indexing,,,,
83,6.1,88,prefixes,"When an R or T index appears on the verb, the object NP “gets shunted to the end of the predicate or is deleted” (p. 312). This probably means that it is right-dislocated.",,33,312
84,6.1,88,prefixes,"(Person) agreement is normally with animate arguments.
There is also suffixal number agreement for objects.",,161,
85,6.1,88,prefixes,"In some cases (with causee in 1st person, and P plural) plural agreement is used to to refer to P (see ex. (76). Otherwise plural can refer also to R (p. 109).",,161,109
86,6.1,88,prefixes,"Plural agreement may be used in some cases (with causee in 1st person, and P plural) to refer to P; otherwise preferentially refers to applied object (see p. 113 after (90)).",,161,113
87,6.1,84,no indexing,,,,
88,6.1,88,prefixes,,,,
89,6.1,88,prefixes,,,,
90,6.1,84,no indexing,,,,
91,6.1,88,prefixes,,,,
92,6.1,88,prefixes,,,,
93,6.1,84,no indexing,,,,
95,6.1,81,proclitics,,,,
96,6.1,84,no indexing,,,,
98,6.1,84,no indexing,,,,
99,6.1,88,prefixes,"ABS (person) agreement indexes R.
Also Number AGR indexes R
NB the same holds for PL/AGR which is distinct from NB-AGR.
p. 282; ex. (41) ABS2-ERG1-give-BEN-2PL ‘I am giving the bell to you (pl)",,,
100,6.1,84,no indexing,,,,
101,6.1,84,no indexing,,,,
102,6.1,84,no indexing,,,,
103,6.1,84,no indexing,,,,
104,6.1,84,no indexing,,,,
105,6.1,84,no indexing,"Object agreement distinguishes number of O (P and T), even though the latter is incorporated.
Cf.p. 309:
(40): kow-shut-wia-ban
1sg+2sg+3pl-shirt-give-past
‘I gave you the shirts’",,,
106,6.1,88,prefixes,,,,
107,6.1,84,no indexing,,,,
108,6.1,84,no indexing,,,,
109,6.1,84,no indexing,,,,
110,6.1,83,suffixes,"Suffixed person index (optional); but accusative suffixed pronoun obligatory with ‘give’, preferred with some other verbs, excluded with some others, if there is not also a co-occurring T clitic pronoun.
Indexing and full NPs may cooccur and serve to emphasize verb (Borg & Azzopardi-Alexander, p.140). Under certain circumstances, they may not cooccur. Indexing is obligatory with dislocated T and/or R (Borg & Azzopardi-Alexander, pp. 124-125).",,102,140
111,6.1,83,suffixes,"Object agreement (otherwise optional) refers to R (p.147) .
Object agreement preferentially with topical objects (R and P).",,285,147
112,6.1,83,suffixes,"AGRo (otherwise optional) refers to R.
AGRo preferentially with topical Os (R, and Ps).
Cf. p. 143: 
(4.52a) I-(ERG) he book DIR-give-1SG ‘I gave him a book’
(4.52b) he I-ERG book DIR-give-3SG+1SG ‘I gave him a book’",,285,143
113,6.1,84,no indexing,No agreement.,,286,
114,6.1,84,no indexing,,,,
115,6.1,84,no indexing,,,,
118,6.1,84,no indexing,,,,
119,6.1,84,no indexing,,,,
120,6.1,84,no indexing,,,,
121,6.1,84,no indexing,,,,
122,6.1,84,no indexing,,,,
123,6.1,84,no indexing,No agreement,,,
124,6.1,84,no indexing,,,,
125,6.1,84,no indexing,,,,
126,6.1,81,proclitics,"R is marked by object proclitics 

NB here T marking patterns with P of monotransitives, as R is never expressed by gender prefixes.In some cases gender AGR is absent with T, although it is apparently obligatory with 3rd person Ps.",,293,
127,6.1,81,proclitics,"by object proclitics

Wth verbs non-inflecting for gender, both R and T are marked by proclitics, but R-proclitics appear before the verbs stem and in this respect are like P-proclitics of monotransitives.",,293,
128,6.1,93,enclitics,"R (like P) is cross-referenced by object enclitics in the verbal complex.
Again, like P, R can be additionally marked by imperfective agreement clitics (normally used for subject agreement), when R is 1/2 person and A is 3rd person.",,,
129,6.1,84,no indexing,,,,
130,6.1,84,no indexing,,,,
132,6.1,83,suffixes,Transitive AGR markers are distinct from intransitive and insofar as they can be segmented have the order AGRs+AGRo (except for 3rd person O where order is: AGRo+AGRs). AGR markers to some extent cumulative with mood (see the indicative marer va(r) in transitive agreement forms above).,,325,
133,6.1,84,no indexing,Transitive AGR markers are distinct from intransitive and insofar as they can be segmented have the order AGRs+AGRo (except for 3rd person O where order is: AGRo+AGRs). AGR markers to some extent cumulative with mood (see the indicative marer va(r) in transitive agreement forms above).,,325,
134,6.1,93,enclitics,"R indexed by dative enclitics (p. 251), distinct both from subject and object enclitics. Indexing strategies include: a) suffixal agreement in number/gender; b) cross-referencing of A,P/T and R by pronominal clitics.",,326,251
135,6.1,93,enclitics,"R indexed by dative enclitics (p. 251), distinct both from subject and object enclitics. Indexing strategies include: a) suffixal agreement in number/gender; b) cross-referencing of A,P/T and R by pronominal clitics.",,326,251
136,6.1,84,no indexing,"Apart from obligatory suffixal subject agreement has (optional) object agreement, distinguishing the number of topical objects. The order is V-tense-(object number)-subject-AGR.",,327,
137,6.1,84,no indexing,"Apart from obligatory suffixal subject agreement has (optional) object agreement, distinguishing the number of topical objects. The order is V-tense-(object number)-subject-AGR.",,327,
138,6.1,83,suffixes,"Optional number agreement with R/P, present if R/P is definite/topical.

Apart from obligatory suffixal subject agreement has (optional) object agreement, distinguishing the number of topical objects. The order is V-tense-(object number)-subject-AGR.",,327,
139,6.1,93,enclitics,,,,
140,6.1,84,no indexing,,,,
141,6.1,88,prefixes,"Apart from the subject agreement, two types of object AGR different positionally and in form: object agreement (AGRo) and dative (indirect object) agreement (AGRio). 
The order is: AGRio-AGRo-AGRs/a-V. 
NB AGRo is identical to the inalienable AGRpos on nouns, while AGRio is identical to the alienable AGRpos on nouns (134).",,329,134
142,6.1,93,enclitics,"R/P (ARG2 in the direct construction) if pronominal is either expressed by free pronouns (1/2 person), or  as an external (set 2) enclitic in the 3rd person (p. 132 ff.). – Apart from (indeclinable) free pronouns, 2 sets of pronominal markers (clitics). In a direct construction internal clitics of set1 are used for A (also for nominal possessor) and external clitics of set2 are used for S, but also for R/P in the 3rd person.",,330,132
143,6.1,103,proclitics and/or enclitics,"R/P (ARG1 in the inverse construction) is obligatory indexed by set 1 bound pronouns, which involve either  proclitics or internal (adjacent to the verb stem and stress-shifting) enclitics or their combination for different persons (p. 132 ff.).
In the inverse construction internal clitics of set1 are used for R/P (also Pos), and (3rd person) external clitics of set 2 are used for A (also S).",,330,132
144,6.1,83,suffixes,Verbal suffixes indexing (referential) objects.,,331,
145,6.1,84,no indexing,,,,
146,6.1,84,no indexing,,,,
147,6.1,84,no indexing,,,,
148,6.1,84,no indexing,,,,
149,6.1,83,suffixes,Object suffixes used to index the “main” object: P and R in the ergative construction.,,335,
150,6.1,84,no indexing,NB. In Wanci dialect there is a separate dative AGR series distinct form object agreement (135-6).,,335,
151,6.1,84,no indexing,Indexing T by object agreement depends on the choice of construction ergative/antipassive.,,335,
152,6.1,88,prefixes,"Object prefixes, which follow subject prefixes and are identical to possessive prefixes. P/R is indexed by object prefixes if 1,2 person (3rd person is zero).",,,
153,6.1,84,no indexing,,,,
154,6.1,84,no indexing,,,,
155,6.1,84,no indexing,,,,
156,6.1,84,no indexing,,,,
157,6.1,83,suffixes,"following the verb stem, at the very end of the verb word

Normally object suffixes code the primary object (Hagman 1977: the “immediate patient”), but ditransitive verbs may also have two object suffixes. There is just one example, however.",,338,
158,6.1,84,no indexing,,,,
159,6.1,84,no indexing,,,,
160,6.1,83,suffixes,"By dative agreement prefixes (which are composed by “predative” marker –(k)i and the ergative agreement markers (except for 3rd person which is distinct from ergative markers). Dative AGR is optional in western dialects (S, 239).",,,
161,6.1,84,no indexing,,,,
162,6.1,84,no indexing,,,,
163,6.1,84,no indexing,,,,
164,6.1,84,no indexing,,,,
165,6.1,84,no indexing,,,,
166,6.1,83,suffixes,"Object agreement suffixes do not distinguish number and are available only for 1,2 person. In many cases the subject/object agreement is idiosyncratic and cumulative. 
P, 107; “agreement is optionally with either direct or indirect object”, but in fact since T is only in the 3rd person, “agreement with direct object” amounts to no agreement (cf. (446h-i).",,354,107
167,6.1,83,suffixes,"Object agreement suffixes do not distinguish number and are available only for 1,2 person. In many  cases the subject/object agreement is idiosyncratic and cumulative. 
P, 107; “agreement is optionally with either direct or indirect object”, but in fact since T is only in the 3rd person, “agreement with direct object” amounts to no agreement (cf. (446h-i).",,354,107
168,6.1,84,no indexing,,,,
169,6.1,83,suffixes,"AGRio seems to be related to AGRo (but not regularly) through addition of –ki- to the suffixal part (cf. 1sg->3 t- -Cen vs. 1sg->3 t- -kiCen). Notably the AGRio is defective: only forms with 3sg, 3pl, and 2pl (indirect) objects noted.
AGRio is not restricted to dative participants but also to obliques, and even to possessors (p. 148; (222) ‘Your man smokes-him’).",7015,356,148
170,6.1,84,no indexing,,,356,
171,6.1,84,no indexing,,,,
172,6.1,84,no indexing,,,,
173,6.1,84,no indexing,,,,
174,6.1,84,no indexing,,,,
175,6.1,84,no indexing,,,,
176,6.1,84,no indexing,,,,
177,6.1,84,no indexing,,,,
178,6.1,84,no indexing,,,,
179,6.1,84,no indexing,,,,
180,6.1,84,no indexing,,,,
181,6.1,84,no indexing,,,,
182,6.1,83,suffixes,"Indexing through object agreement suffixes (Amberber 2002: 6)
Indexing R is optional in this construction unless R is omitted or for 1,2 person Rs.
Leslau (1995: 187) mentions that AGRo can also be used in a possessor ascension contexts:  ‘the door your-finger it-pinched-me‘",,360,6
183,6.1,83,suffixes,"Indexing through object agreement suffixes (Amberber 2002: 6).
Unlike the dative construction, indexing of accusative R is obligatory.",,360,6
184,6.1,83,suffixes,(Primary) object agreement identical for P/R arguments (making a distinction in person apart from number). There are different object agreement forms for animate vs. inanimate object.,,,
185,6.1,84,no indexing,There are different object agreement forms for animate vs. inanimate object.,,,
186,6.1,83,suffixes,R is indexed by pronominal object suffixes (”pronominal objective case”); see p. 45 for the forms.,,,
187,6.1,88,prefixes,"Object agreement for R/P is different for different noun classes.
Subject and object are indexed by prefixes, but object prefixation is optional (obligatory under extraction and/or with topical objects). 
Generally, indexing is rather secundative, as the verb usually agrees with R, only exceptionally with T.",,,
188,6.1,88,prefixes,,,,
189,6.1,84,no indexing,,,,
190,6.1,84,no indexing,Agreement only with subjects; yet the verb form depends also on animacy of the T argument.,,,
191,6.1,84,no indexing,Agreement only with subjects; yet the verb form depends also on animacy of the T argument.,,,
192,6.1,84,no indexing,,,,
193,6.1,97,unclear,"Object pronouns 
Although they are not qualified as agreement, subject pronouns seem to be proclitics, object pronouns enclitics.",,,
194,6.1,84,no indexing,,,,
195,6.1,84,no indexing,,,,
196,6.1,84,no indexing,,,,
197,6.1,88,prefixes,R is marked by the object agreement series.,,,
198,6.1,84,no indexing,,,,
199,6.1,84,no indexing,,,,
200,6.1,84,no indexing,,,,
201,6.1,84,no indexing,,,,
202,6.1,84,no indexing,,,,
203,6.1,88,prefixes,,,,
204,6.1,84,no indexing,,,,
205,6.1,84,no indexing,"3rd person arguments are generally unmarked (not indexed), although there is a 3rd vs. non-rd distinctions in the suffixes (these encode cumulatively TAM).",,,
206,6.1,84,no indexing,,,,
207,6.1,84,no indexing,,,,
209,6.1,84,no indexing,,,,
210,6.1,84,no indexing,,,,
211,6.1,84,no indexing,,,,
212,6.1,84,no indexing,,,,
215,6.1,83,suffixes,Indexing by regular object agreement suffixes.,,403,
216,6.1,84,no indexing,,,403,
217,6.1,93,enclitics,"Difficult to tell if these are “direct object” or “indirect object” agreement markers. Roberts 1997: 24 concludes that they are more similar to indirect agreement, but this can be an effect of the stem trancation of the verb give. 
“Direct object” and “indirect object” agreement differ mostly in position than in form (some slight differences obtain in the 3rd person though). Direct object agreement shows also slight differences for animate/inanimate direct objects.",,,
218,6.1,93,enclitics,"These are indirect object markers, identical in most forms (apart from the 3rd) to the object markers. 
“Direct object” and “indirect object” agreement differ mostly in position than in form (some slight differences obtain in the 3rd person though). Direct object agreement shows also slight differences for animate/inanimate direct objects.",,,
219,6.1,93,enclitics,"These are indirect object markers, identical in most forms (apart from the 3rd) to the object markers. 
“Direct object” and “indirect object” agreement differ mostly in position than in form (some slight differences obtain in the 3rd person though). Direct object agreement shows also slight differences for animate/inanimate direct objects.",,,
220,6.1,84,no indexing,"Set2 clitics indicate A in the past domain, and P in the non-past domain. They can either procliticize to the verb, or encliticize to a constituent preceding the verb.",,404,
221,6.1,84,no indexing,,,404,
222,6.1,93,enclitics,"Set-2 enclitics (which otherwise index in non-past tense) index R in this construction. This pattern is however not secundative, as the clitic appears on T rather than V. In that respect it is more reminiscent of the possessive pattern: note that Set-2 enclitics also mark possessors.",,404,
